facility_id,horizon,level,method,PICP,cov_gap,MPIW,Winkler
3,y_t+5min,0.9,split-CP,0.833,-0.067,14.03,23.9
3,y_t+5min,0.9,ACI,0.9008,0.0008,15.38,19.81
3,y_t+5min,0.95,split-CP,0.9273,-0.0227,18.51,27.34
3,y_t+5min,0.95,ACI,0.9509,0.0009,20.37,24.78
3,y_t+15min,0.9,split-CP,0.8664,-0.0336,22.44,39.05
3,y_t+15min,0.9,ACI,0.8988,-0.0012,23.54,30.16
3,y_t+15min,0.95,split-CP,0.9303,-0.0197,29.67,48.72
3,y_t+15min,0.95,ACI,0.9499,-0.0001,30.86,37.71
3,y_t+30min,0.9,split-CP,0.8585,-0.0415,32.02,58.18
3,y_t+30min,0.9,ACI,0.8988,-0.0012,30.85,43.32
3,y_t+30min,0.95,split-CP,0.9253,-0.0247,40.92,74.87
3,y_t+30min,0.95,ACI,0.9499,-0.0001,40.28,51.81
