horizon,level,method,mean_PICP,median_PICP,std_PICP,mean_MPIW,mean_Winkler,frac_at_target
y_t+15min,0.9,ACI,0.8995,0.8998,0.0025,22.2325,28.2374,1.0
y_t+15min,0.9,split-CP,0.8677,0.9101,0.1468,21.8437,54.8611,0.5455
y_t+15min,0.95,ACI,0.9497,0.9504,0.0028,27.8168,34.0044,1.0
y_t+15min,0.95,split-CP,0.9447,0.9499,0.0405,32.7764,48.1805,0.6364
y_t+30min,0.9,ACI,0.8996,0.8998,0.0023,29.1557,36.7783,1.0
y_t+30min,0.9,split-CP,0.8643,0.8816,0.1388,30.8441,63.3184,0.4545
y_t+30min,0.95,ACI,0.9497,0.9504,0.0025,37.3285,45.1064,1.0
y_t+30min,0.95,split-CP,0.9395,0.9479,0.0467,42.6076,66.9096,0.5455
y_t+5min,0.9,ACI,0.8991,0.8998,0.0017,15.0767,20.0068,1.0
y_t+5min,0.9,split-CP,0.8693,0.9032,0.1316,13.6962,39.1713,0.6364
y_t+5min,0.95,ACI,0.9494,0.9499,0.0019,19.8727,25.0372,1.0
y_t+5min,0.95,split-CP,0.9163,0.9474,0.1381,18.5567,61.3506,0.5455
