facility_id,dynamic,horizon,level,method,PICP,MPIW,Winkler
1,True,y_t+30min,0.9,split-CP,0.912751677852349,44.52598015873013,61.08776328146127
1,True,y_t+30min,0.9,ACI,0.8926174496644296,49.83341740315986,67.58718930333275
1,True,y_t+30min,0.95,split-CP,0.959731543624161,57.37726785714291,73.34942429689997
1,True,y_t+30min,0.95,ACI,0.9463087248322147,67.58580768308869,77.69170694229332
1,True,y_t+60min,0.9,split-CP,0.9261744966442953,83.79808333333334,115.51900575263664
1,True,y_t+60min,0.9,ACI,0.8926174496644296,88.00231065569405,120.7714059470544
1,True,y_t+60min,0.95,split-CP,0.9463087248322147,104.74847619047618,142.33812783636944
1,True,y_t+60min,0.95,ACI,0.9463087248322147,107.92680046873336,156.6384138702461
1,True,y_t+90min,0.9,split-CP,0.87248322147651,106.1961785714286,168.67743399514112
1,True,y_t+90min,0.9,ACI,0.8926174496644296,130.97410748924074,176.10327721877132
1,True,y_t+90min,0.95,split-CP,0.9530201342281879,156.20234523809515,200.38661519190916
1,True,y_t+90min,0.95,ACI,0.9463087248322147,149.4102131777338,214.84472662398295
2,True,y_t+30min,0.9,split-CP,0.90625,36.52085714285715,60.10940128968255
2,True,y_t+30min,0.9,ACI,0.8828125,36.510474444500815,55.55635350576074
2,True,y_t+30min,0.95,split-CP,0.9453125,47.17355158730156,78.22374069940473
2,True,y_t+30min,0.95,ACI,0.9375,53.64029765286797,71.70149587955444
2,True,y_t+60min,0.9,split-CP,0.8828125,57.98599404761903,95.61774193948412
2,True,y_t+60min,0.9,ACI,0.890625,56.70865068514385,91.2819810732887
2,True,y_t+60min,0.95,split-CP,0.921875,71.84050000000002,120.46008550347217
2,True,y_t+60min,0.95,ACI,0.9453125,90.78567637028769,119.42500362723212
2,True,y_t+90min,0.9,split-CP,0.8046875,67.09773617511519,125.8374291635915
2,True,y_t+90min,0.9,ACI,0.8828125,74.75058982933658,107.40503574550021
2,True,y_t+90min,0.95,split-CP,0.875,83.10789583333329,149.64381580346137
2,True,y_t+90min,0.95,ACI,0.9453125,91.26984775245614,127.27960893467178
3,True,y_t+30min,0.9,split-CP,0.8785714285714286,57.94357539682551,103.710748015873
3,True,y_t+30min,0.9,ACI,0.9,84.55341614615544,115.27673998402393
3,True,y_t+30min,0.95,split-CP,0.9285714285714286,80.57708333333335,135.69327239229023
3,True,y_t+30min,0.95,ACI,0.95,130.56512373866218,143.59946699263037
3,True,y_t+60min,0.9,split-CP,0.8857142857142857,117.11499603174603,192.09375269274372
3,True,y_t+60min,0.9,ACI,0.9,142.89531746160583,188.1723195874562
3,True,y_t+60min,0.95,split-CP,0.9071428571428571,138.13498015873031,244.5882794784579
3,True,y_t+60min,0.95,ACI,0.95,185.57790292207793,229.85914101731598
3,True,y_t+90min,0.9,split-CP,0.8857142857142857,166.1877706361679,267.320403590169
3,True,y_t+90min,0.9,ACI,0.9,199.9262342472987,255.88544215546594
3,True,y_t+90min,0.95,split-CP,0.9357142857142857,228.31149404761902,320.714351731768
3,True,y_t+90min,0.95,ACI,0.95,256.8104000751189,318.4803529950771
4,True,y_t+30min,0.9,split-CP,0.8859060402684564,31.657785714285748,53.54735761982238
4,True,y_t+30min,0.9,ACI,0.8993288590604027,37.88107732284494,55.56298064416937
4,True,y_t+30min,0.95,split-CP,0.9463087248322147,44.06761904761901,65.1390559235693
4,True,y_t+30min,0.95,ACI,0.9463087248322147,53.28920787089495,73.99908536104087
4,True,y_t+60min,0.9,split-CP,0.9328859060402684,64.78570238095243,73.13160883281519
4,True,y_t+60min,0.9,ACI,0.8993288590604027,63.22655711961417,77.02891998605418
4,True,y_t+60min,0.95,split-CP,0.9731543624161074,76.24543253968251,82.79614576009372
4,True,y_t+60min,0.95,ACI,0.9463087248322147,73.57276823242009,85.65861091136675
4,True,y_t+90min,0.9,split-CP,0.9261744966442953,78.59850595238095,94.64515124089138
4,True,y_t+90min,0.9,ACI,0.8993288590604027,78.67955448321867,93.192714870315
4,True,y_t+90min,0.95,split-CP,0.9463087248322147,90.72195407693492,107.96872061760858
4,True,y_t+90min,0.95,ACI,0.9463087248322147,92.50926049160014,111.36012257366554
5,True,y_t+30min,0.9,split-CP,0.96,136.43067261904756,169.6623625661375
5,True,y_t+30min,0.9,ACI,0.9133333333333333,90.59676193001444,155.78394248556992
5,True,y_t+30min,0.95,split-CP,0.9666666666666667,186.40098412698416,216.6614158730158
5,True,y_t+30min,0.95,ACI,0.9466666666666667,144.1086421031746,227.77857940476176
5,True,y_t+60min,0.9,split-CP,0.9733333333333334,228.03394047619034,264.59057883597876
5,True,y_t+60min,0.9,ACI,0.9066666666666666,175.61689951058202,249.50870890211644
5,True,y_t+60min,0.95,split-CP,0.98,285.0331190476194,330.0550100529103
5,True,y_t+60min,0.95,ACI,0.9533333333333334,218.1656662830688,322.72545649470885
5,True,y_t+90min,0.9,split-CP,0.9333333333333333,289.6681204200301,315.15097084917534
5,True,y_t+90min,0.9,ACI,0.9133333333333333,256.06586407273505,317.45335671850916
5,True,y_t+90min,0.95,split-CP,0.98,323.0621159685364,345.4229484341684
5,True,y_t+90min,0.95,ACI,0.9466666666666667,335.8842425544886,377.0858516485009
6,True,y_t+30min,0.9,split-CP,0.8666666666666667,124.03027976190468,201.49409315776813
6,True,y_t+30min,0.9,ACI,0.8933333333333333,134.21604871933621,184.17300349326607
6,True,y_t+30min,0.95,split-CP,0.9266666666666666,174.9411309523807,227.39702176527183
6,True,y_t+30min,0.95,ACI,0.9466666666666667,168.38959773809523,238.3850343903319
6,True,y_t+60min,0.9,split-CP,0.9,262.8149285714285,344.8332035714286
6,True,y_t+60min,0.9,ACI,0.8933333333333333,258.94517494200244,332.5692125997151
6,True,y_t+60min,0.95,split-CP,0.94,319.6363690476192,390.6278611111111
6,True,y_t+60min,0.95,ACI,0.94,299.0690075396825,397.5769972222221
6,True,y_t+90min,0.9,split-CP,0.9,281.5406840132314,385.03664060085305
6,True,y_t+90min,0.9,ACI,0.8933333333333333,303.51645578660646,376.19533330703456
6,True,y_t+90min,0.95,split-CP,0.94,350.7292109669564,452.5582420863299
6,True,y_t+90min,0.95,ACI,0.9466666666666667,329.402991770622,436.27465177794375
7,True,y_t+30min,0.9,split-CP,0.8466666666666667,40.41176190476188,65.88631705146707
7,True,y_t+30min,0.9,ACI,0.8866666666666667,51.43115539201538,63.028129850889854
7,True,y_t+30min,0.95,split-CP,0.9133333333333333,50.83366666666665,78.14483689273688
7,True,y_t+30min,0.95,ACI,0.94,62.51653151635402,74.98242648989896
7,True,y_t+60min,0.9,split-CP,0.7933333333333333,68.07518452380951,125.93482847522847
7,True,y_t+60min,0.9,ACI,0.8866666666666667,79.71843215969217,107.05681757335257
7,True,y_t+60min,0.95,split-CP,0.8666666666666667,86.37742857142861,137.81563835978827
7,True,y_t+60min,0.95,ACI,0.9466666666666667,103.40190167027417,126.09269294011546
7,True,y_t+90min,0.9,split-CP,0.8133333333333334,94.84669338037635,175.40862616274111
7,True,y_t+90min,0.9,ACI,0.8866666666666667,112.62864990500724,162.4063234755824
7,True,y_t+90min,0.95,split-CP,0.88,118.3164603174603,214.57268268049157
7,True,y_t+90min,0.95,ACI,0.9333333333333333,142.820662432209,181.67066598656982
9,True,y_t+30min,0.9,split-CP,0.9530201342281879,33.6282261904762,39.46542444337915
9,True,y_t+30min,0.9,ACI,0.8993288590604027,24.435557592947685,36.94468124800256
