horizon,level,method,mean_PICP,median_PICP,std_PICP,mean_MPIW,mean_Winkler,frac_at_target
y_t+30min,0.9,ACI,0.8955,0.8942,0.0073,77.2828,108.3731,0.8214
y_t+30min,0.9,split-CP,0.9012,0.9088,0.0469,76.3439,106.9573,0.6429
y_t+30min,0.95,ACI,0.9468,0.9463,0.0046,105.9214,136.079,0.9286
y_t+30min,0.95,split-CP,0.9503,0.9495,0.0268,100.3682,128.5647,0.7143
y_t+60min,0.9,ACI,0.8942,0.8926,0.0075,135.0196,175.3911,0.75
y_t+60min,0.9,split-CP,0.9031,0.9028,0.0502,136.776,181.5556,0.7143
y_t+60min,0.95,ACI,0.9456,0.9463,0.007,173.8692,215.2724,0.8571
y_t+60min,0.95,split-CP,0.9509,0.9497,0.0375,178.0078,220.6114,0.6429
y_t+90min,0.9,ACI,0.8951,0.8926,0.0083,183.5095,229.3926,0.7857
y_t+90min,0.9,split-CP,0.8999,0.8997,0.0499,180.3292,239.5626,0.6429
y_t+90min,0.95,ACI,0.9457,0.9463,0.0065,229.8738,272.0888,0.8214
y_t+90min,0.95,split-CP,0.956,0.9567,0.0369,248.5988,292.7062,0.75
