horizon,level,method,mean_PICP,median_PICP,std_PICP,mean_MPIW,mean_Winkler,frac_at_target
y_t+15min,0.9,ACI,0.8991,0.8993,0.0013,15.1985,20.7253,1.0
y_t+15min,0.9,split-CP,0.8998,0.9018,0.0412,17.3185,27.4218,0.6818
y_t+15min,0.95,ACI,0.9495,0.9499,0.0013,20.7201,27.0631,1.0
y_t+15min,0.95,split-CP,0.947,0.9548,0.037,23.2617,34.2102,0.6818
y_t+30min,0.9,ACI,0.8994,0.8998,0.0016,22.2222,29.5597,1.0
y_t+30min,0.9,split-CP,0.9012,0.9047,0.0553,27.1683,41.9641,0.6818
y_t+30min,0.95,ACI,0.9497,0.9499,0.0017,30.0756,37.9972,1.0
y_t+30min,0.95,split-CP,0.9437,0.9538,0.0454,35.0004,53.2859,0.6818
y_t+5min,0.9,ACI,0.899,0.8988,0.0009,7.259,10.1366,1.0
y_t+5min,0.9,split-CP,0.9019,0.9116,0.0337,7.5216,12.6472,0.7273
y_t+5min,0.95,ACI,0.9495,0.9499,0.0009,10.1236,13.5867,1.0
y_t+5min,0.95,split-CP,0.9505,0.9563,0.0239,10.8057,15.3592,0.8182
