facility_id,horizon,level,method,PICP,MPIW,Winkler,picp_lo,picp_hi
2,y_t+5min,0.8,split-CP,0.8791748526522594,7.238777777777785,9.736679835472328,,
2,y_t+5min,0.8,ACI,0.7996070726915521,5.4538540391519295,8.613360111783,,
2,y_t+5min,0.85,split-CP,0.9076620825147348,8.41284920634922,10.901708244543553,,
2,y_t+5min,0.85,ACI,0.849705304518664,6.272930864095158,9.6896835367663,,
2,y_t+5min,0.9,split-CP,0.9361493123772102,10.008984126984156,12.527119866217628,0.91595,0.956
2,y_t+5min,0.9,ACI,0.899803536345776,8.11921229544486,11.821280973147138,0.877,0.922
2,y_t+5min,0.95,split-CP,0.9675834970530452,12.72304761904763,15.25615005561274,,
2,y_t+5min,0.95,ACI,0.949901768172888,11.258525084553083,15.248982930389122,,
2,y_t+5min,0.9,CQR,0.9223968565815324,7.455151423361529,9.914622271488524,0.902,0.943
2,y_t+5min,0.95,CQR,0.950884086444008,9.306427729161635,12.27250630569486,,
2,y_t+15min,0.8,split-CP,0.849705304518664,14.471023809523787,20.680357499827533,,
2,y_t+15min,0.8,ACI,0.7976424361493124,12.389069297380203,19.141378673180498,,
2,y_t+15min,0.85,split-CP,0.8919449901768173,17.78203174603175,23.24629433165976,,
2,y_t+15min,0.85,ACI,0.8487229862475442,14.11823158672987,21.68468428614426,,
2,y_t+15min,0.9,split-CP,0.9351669941060904,22.043575396825418,26.578853460463,0.912,0.957
2,y_t+15min,0.9,ACI,0.8988212180746562,18.03533055080697,25.623447361868287,0.87095,0.926
2,y_t+15min,0.95,split-CP,0.9666011787819252,27.328761904761905,31.48612944771884,,
2,y_t+15min,0.95,ACI,0.950884086444008,23.26107751951171,32.1915315688459,,
2,y_t+15min,0.9,CQR,0.924361493123772,16.83210615580905,21.950876252129387,0.899,0.947
2,y_t+15min,0.95,CQR,0.9636542239685658,21.298013246249702,25.95145163185158,,
2,y_t+30min,0.8,split-CP,0.8595284872298625,22.629323472823447,31.12762359058208,,
2,y_t+30min,0.8,ACI,0.7986247544204322,19.79230199418364,30.382322777367072,,
2,y_t+30min,0.85,split-CP,0.8899803536345776,26.92993121693121,34.67398505910883,,
2,y_t+30min,0.85,ACI,0.8487229862475442,24.007692868501486,34.15313840929682,,
2,y_t+30min,0.9,split-CP,0.9322200392927308,33.98168783068786,39.51988321185475,0.89795,0.962
2,y_t+30min,0.9,ACI,0.900785854616896,28.98198851329843,40.04872014894069,0.866,0.932
2,y_t+30min,0.95,split-CP,0.9921414538310412,48.09399752861197,49.03590121322687,,
2,y_t+30min,0.95,ACI,0.949901768172888,39.70983138294255,50.802771189915774,,
2,y_t+30min,0.9,CQR,0.93713163064833,26.444607247118096,33.580866434356224,0.90695,0.964
2,y_t+30min,0.95,CQR,0.9734774066797642,40.43082629469753,45.39702468859391,,
3,y_t+5min,0.8,split-CP,0.825147347740668,5.3504435270352335,9.379159284691324,,
3,y_t+5min,0.8,ACI,0.7966601178781926,5.036031843502129,8.221655766802872,,
3,y_t+5min,0.85,split-CP,0.8683693516699411,6.438662997556901,10.620318162833552,,
3,y_t+5min,0.85,ACI,0.8477406679764243,5.847353782986644,9.221676974832752,,
3,y_t+5min,0.9,split-CP,0.9027504911591356,7.958346819360702,12.389753670168332,0.87195,0.93505
3,y_t+5min,0.9,ACI,0.8988212180746562,7.194984226853335,10.876685340263684,0.876,0.923
3,y_t+5min,0.95,split-CP,0.944007858546169,10.16685477535906,15.482189127392836,,
3,y_t+5min,0.95,ACI,0.948919449901768,10.024897303575964,14.666392974099132,,
3,y_t+5min,0.9,CQR,0.8988212180746562,6.066006837979607,10.595273429623637,0.8699,0.925
3,y_t+5min,0.95,CQR,0.948919449901768,8.175882441499356,13.525607374471251,,
3,y_t+15min,0.8,split-CP,0.8300589390962672,11.330399827133856,20.311923918855644,,
3,y_t+15min,0.8,ACI,0.7976424361493124,11.79462716400241,18.78381974882245,,
3,y_t+15min,0.85,split-CP,0.8664047151277013,13.291118951557076,23.160799491008405,,
3,y_t+15min,0.85,ACI,0.8487229862475442,13.774576771583035,21.38169365958237,,
3,y_t+15min,0.9,split-CP,0.9017681728880156,16.427757297961993,27.423838060683227,0.86195,0.937
3,y_t+15min,0.9,ACI,0.8988212180746562,18.258930232636644,26.100341441034587,0.871,0.925
3,y_t+15min,0.95,split-CP,0.93811394891945,21.674446565745065,34.59562552013128,,
3,y_t+15min,0.95,ACI,0.948919449901768,26.2522033956684,36.54576469629748,,
3,y_t+15min,0.9,CQR,0.8948919449901768,14.72361336477626,25.293806923477057,0.85695,0.929
3,y_t+15min,0.95,CQR,0.9282907662082516,18.505857409887824,32.07970215084917,,
3,y_t+30min,0.8,split-CP,0.8261296660117878,17.30640612574842,31.493299477846527,,
3,y_t+30min,0.8,ACI,0.7986247544204322,21.57783210346973,30.83022496429813,,
3,y_t+30min,0.85,split-CP,0.8644400785854617,21.42027480012552,35.85101416733503,,
3,y_t+30min,0.85,ACI,0.8477406679764243,26.2008068015977,35.761775960995394,,
3,y_t+30min,0.9,split-CP,0.9135559921414538,27.534556402090423,41.68956751445909,0.871,0.951
3,y_t+30min,0.9,ACI,0.899803536345776,34.781633776524615,47.09981026359095,0.861,0.933
3,y_t+30min,0.95,split-CP,0.948919449901768,34.33179621151287,52.88138771547567,,
3,y_t+30min,0.95,ACI,0.948919449901768,50.9288404090852,64.94448828765708,,
3,y_t+30min,0.9,CQR,0.8595284872298625,21.99833823096917,41.67183466355604,0.8089500000000001,0.902
3,y_t+30min,0.95,CQR,0.9292730844793712,30.868979899364746,52.75485803431412,,
4,y_t+5min,0.8,split-CP,0.8457760314341847,6.97795800849261,11.377213525677904,,
4,y_t+5min,0.8,ACI,0.7986247544204322,6.033119855032184,10.319667355228995,,
4,y_t+5min,0.85,split-CP,0.8791748526522594,8.188935212471812,12.898764395089133,,
4,y_t+5min,0.85,ACI,0.8487229862475442,7.324299091798109,11.616644070063192,,
4,y_t+5min,0.9,split-CP,0.9302554027504912,10.465815724368763,15.27193730716275,0.9059,0.953
4,y_t+5min,0.9,ACI,0.899803536345776,9.76047259310852,14.589705269767526,0.875,0.926
4,y_t+5min,0.95,split-CP,0.9783889980353636,16.513280603891857,20.83199010039113,,
4,y_t+5min,0.95,ACI,0.949901768172888,13.466437695863036,19.807423234191383,,
4,y_t+5min,0.9,CQR,0.9302554027504912,8.37483866594522,12.557133074983687,0.91295,0.951
4,y_t+5min,0.95,CQR,0.9607072691552064,11.118981427060747,16.235940161700636,,
4,y_t+15min,0.8,split-CP,0.8831041257367387,17.902201808642097,24.97594102038722,,
4,y_t+15min,0.8,ACI,0.7966601178781926,14.340833194006205,24.00654234664685,,
4,y_t+15min,0.85,split-CP,0.9174852652259332,21.35279684793484,28.414192636046423,,
4,y_t+15min,0.85,ACI,0.8467583497053045,17.86295180970525,28.38292140225342,,
4,y_t+15min,0.9,split-CP,0.9587426326129664,27.07741493857321,33.8263514750957,0.943,0.976
4,y_t+15min,0.9,ACI,0.8978388998035364,24.58538305693525,36.49597285660658,0.869,0.925
4,y_t+15min,0.95,split-CP,0.9803536345776032,36.72791368273911,44.65641853196103,,
4,y_t+15min,0.95,ACI,0.948919449901768,36.53326030276571,51.77531777759822,,
4,y_t+15min,0.9,CQR,0.93713163064833,20.32757884459545,29.31007012160937,0.915,0.96
4,y_t+15min,0.95,CQR,0.974459724950884,27.87273016312012,37.69617162935938,,
4,y_t+30min,0.8,split-CP,0.899803536345776,31.36421326689575,40.269567644472616,,
4,y_t+30min,0.8,ACI,0.7956777996070727,27.56164187148204,42.55094064848191,,
4,y_t+30min,0.85,split-CP,0.918467583497053,36.19141916392382,44.97068611304834,,
4,y_t+30min,0.85,ACI,0.8457760314341847,32.79239657252778,48.583759202066034,,
4,y_t+30min,0.9,split-CP,0.9577603143418468,44.96148637866172,52.75244693260608,0.936,0.97905
4,y_t+30min,0.9,ACI,0.8968565815324165,39.74894031158182,58.75922926618011,0.86,0.93405
4,y_t+30min,0.95,split-CP,0.9793713163064832,63.94714208053735,68.17904293254132,,
4,y_t+30min,0.95,ACI,0.948919449901768,62.87219618918514,82.87409954989616,,
4,y_t+30min,0.9,CQR,0.944007858546169,38.78737940261707,49.009553527234814,0.918,0.96705
4,y_t+30min,0.95,CQR,0.981335952848723,53.77357959752368,60.92745235085669,,
5,y_t+5min,0.8,split-CP,0.8320235756385069,4.965861111111167,8.597537928754296,,
5,y_t+5min,0.8,ACI,0.7976424361493124,4.618881621725434,7.702366593649753,,
5,y_t+5min,0.85,split-CP,0.8909626719056974,6.323111111111132,9.935634334267936,,
5,y_t+5min,0.85,ACI,0.8487229862475442,5.991541773005429,9.304234585419916,,
5,y_t+5min,0.9,split-CP,0.918467583497053,7.531999999999926,11.803954962195617,0.896,0.943
5,y_t+5min,0.9,ACI,0.8988212180746562,7.608468285834445,11.355936813450326,0.873,0.923
5,y_t+5min,0.95,split-CP,0.9607072691552064,10.405650793650803,15.435733796945978,,
5,y_t+5min,0.95,ACI,0.949901768172888,14.19063408603512,18.51746365263384,,
5,y_t+5min,0.9,CQR,0.925343811394892,6.608961879282362,10.080597894566974,0.908,0.944
5,y_t+5min,0.95,CQR,0.9607072691552064,9.81034067934349,14.857127082737756,,
5,y_t+15min,0.8,split-CP,0.806483300589391,10.120690476190475,20.03865784104021,,
5,y_t+15min,0.8,ACI,0.7966601178781926,12.201195223689576,20.585197255138816,,
5,y_t+15min,0.85,split-CP,0.849705304518664,12.228527777777742,23.01490119794949,,
5,y_t+15min,0.85,ACI,0.8487229862475442,16.086081263557443,25.465766671106305,,
5,y_t+15min,0.9,split-CP,0.8968565815324165,15.094841269841256,27.59965388046429,0.867,0.92705
5,y_t+15min,0.9,ACI,0.8988212180746562,21.28876479600313,31.68029702214489,0.872,0.926
5,y_t+15min,0.95,split-CP,0.9361493123772102,19.50932804232808,37.17575669408084,,
5,y_t+15min,0.95,ACI,0.949901768172888,35.59910947597208,48.5868957515825,,
5,y_t+15min,0.9,CQR,0.924361493123772,15.48578066151286,23.943877001970883,0.90795,0.947
5,y_t+15min,0.95,CQR,0.9430255402750491,18.64256360812023,35.0267504420277,,
5,y_t+30min,0.8,split-CP,0.8202357563850687,17.219365332740797,33.085010265241785,,
