horizon,level,method,mean_PICP,std_PICP,mean_MPIW,mean_Winkler
y_t+15min,0.8,ACI,0.7977,0.0012,12.0375,17.8782
y_t+15min,0.8,split-CP,0.8099,0.0536,10.974,20.5366
y_t+15min,0.85,ACI,0.8484,0.0015,14.1713,20.3932
y_t+15min,0.85,split-CP,0.8529,0.0468,12.9906,23.3448
y_t+15min,0.9,ACI,0.8987,0.0014,17.6229,24.1606
y_t+15min,0.9,CQR,0.9042,0.0303,12.9891,20.3622
y_t+15min,0.9,split-CP,0.8998,0.0412,16.7736,26.8769
y_t+15min,0.95,ACI,0.9489,0.0018,24.6394,32.5868
y_t+15min,0.95,CQR,0.9394,0.0355,16.4487,26.1848
y_t+15min,0.95,split-CP,0.947,0.037,22.3872,33.3357
y_t+30min,0.8,ACI,0.7974,0.0032,21.0839,30.4793
y_t+30min,0.8,split-CP,0.8101,0.067,17.7238,31.2429
y_t+30min,0.85,ACI,0.8477,0.003,25.515,35.0701
y_t+30min,0.85,split-CP,0.8522,0.0627,20.6021,35.2151
y_t+30min,0.9,ACI,0.8982,0.003,30.9373,41.6246
y_t+30min,0.9,CQR,0.8956,0.0441,19.9958,33.2311
y_t+30min,0.9,split-CP,0.9012,0.0553,26.1646,40.9603
y_t+30min,0.95,ACI,0.9482,0.0033,42.6137,55.0669
y_t+30min,0.95,CQR,0.9404,0.0353,26.8711,43.2237
y_t+30min,0.95,split-CP,0.9437,0.0454,33.6998,51.9853
y_t+5min,0.8,ACI,0.798,0.0014,4.8229,7.4425
y_t+5min,0.8,split-CP,0.8152,0.0425,4.777,9.2936
y_t+5min,0.85,ACI,0.8485,0.0011,5.7101,8.3833
y_t+5min,0.85,split-CP,0.8602,0.0394,5.919,10.5924
y_t+5min,0.9,ACI,0.899,0.0009,7.0349,9.9125
y_t+5min,0.9,CQR,0.9065,0.016,5.4626,8.5216
y_t+5min,0.9,split-CP,0.9019,0.0337,7.3561,12.4817
y_t+5min,0.95,ACI,0.9495,0.0009,9.7719,13.235
y_t+5min,0.95,CQR,0.9531,0.0151,7.4849,11.1161
y_t+5min,0.95,split-CP,0.9505,0.0239,10.4314,14.9849
