facility_id,horizon,model,MAE,RMSE
1,y_t+30min,RF-delta,9.743237086785326,13.27350775539074
1,y_t+30min,persistence,18.399328859060404,23.526366759147194
1,y_t+30min,RF-absolute,21.26349843049381,28.18484194114158
1,y_t+60min,RF-delta,17.788008885596135,24.260926943712125
1,y_t+60min,persistence,35.011744966442954,43.16330489271813
1,y_t+60min,RF-absolute,28.18558081958124,38.48623206217314
1,y_t+90min,RF-delta,25.03661556648154,34.777323072059225
1,y_t+90min,persistence,48.84108347766472,59.58041795527775
1,y_t+90min,RF-absolute,32.475992711313005,46.82289132514717
2,y_t+30min,RF-delta,8.186693336828103,12.40036801264066
2,y_t+30min,persistence,11.7578125,15.036284240130604
2,y_t+30min,RF-absolute,13.839278266059033,20.1959272149154
2,y_t+60min,RF-delta,13.761618891904536,19.66357875937159
2,y_t+60min,persistence,22.22265625,27.68457236214784
2,y_t+60min,RF-absolute,20.530602229042657,29.16246783799057
2,y_t+90min,RF-delta,17.86581671491023,24.965999541705663
2,y_t+90min,persistence,30.7763348751958,38.37050077504748
2,y_t+90min,RF-absolute,24.677167689868604,34.56117936277651
3,y_t+30min,RF-delta,13.790966560374155,21.102543847215586
3,y_t+30min,persistence,22.82321428571429,30.1832868251857
3,y_t+30min,RF-absolute,43.71979928429706,52.60881357686178
3,y_t+60min,RF-delta,26.336840759637184,38.89520651126831
3,y_t+60min,persistence,46.31607142857143,58.97487736921787
3,y_t+60min,RF-absolute,59.70723733701812,72.47997432284636
3,y_t+90min,RF-delta,39.28833749999978,54.94745620798255
3,y_t+90min,persistence,68.57968533986175,84.07603564423833
3,y_t+90min,RF-absolute,71.19019839722496,89.12557106861931
4,y_t+30min,RF-delta,7.571644473861336,11.001363329178972
4,y_t+30min,persistence,7.166107382550336,12.230500848563455
4,y_t+30min,RF-absolute,55.611016272504486,57.20700801968922
4,y_t+60min,RF-delta,12.248422554887323,16.83108709715051
4,y_t+60min,persistence,12.151006711409396,19.081268266488948
4,y_t+60min,RF-absolute,63.51160208932564,65.67051227246833
4,y_t+90min,RF-delta,16.098601869442003,21.5580781322092
4,y_t+90min,persistence,16.75242318864112,24.90833103558904
4,y_t+90min,RF-absolute,70.15251494331915,73.3478493106365
5,y_t+30min,RF-delta,22.20269164021164,32.38209698076082
5,y_t+30min,persistence,46.013333333333335,71.00337433296158
5,y_t+30min,RF-absolute,32.19240123015872,48.18207939995832
5,y_t+60min,RF-delta,40.996355421476665,56.48384875374485
5,y_t+60min,persistence,82.75333333333333,120.22033591146992
5,y_t+60min,RF-absolute,50.362873192039416,66.15390894969971
5,y_t+90min,RF-delta,54.25717468051874,71.52202148021664
5,y_t+90min,persistence,113.660561155914,152.99094173079328
