horizon,level,method,mean_PICP,std_PICP,mean_MPIW,mean_Winkler
y_t+30min,0.8,ACI,0.7904,0.0128,56.1226,84.6556
y_t+30min,0.8,split-CP,0.7882,0.0566,53.6357,84.73
y_t+30min,0.85,ACI,0.8427,0.0101,65.063,93.9492
y_t+30min,0.85,split-CP,0.8408,0.0536,62.0155,93.599
y_t+30min,0.9,ACI,0.8955,0.0073,77.2828,108.3731
y_t+30min,0.9,CQR,0.905,0.0336,79.4816,103.2201
y_t+30min,0.9,split-CP,0.9012,0.0469,76.3439,106.9573
y_t+30min,0.95,ACI,0.9468,0.0046,105.9214,136.079
y_t+30min,0.95,CQR,0.9498,0.0333,104.2713,128.372
y_t+30min,0.95,split-CP,0.9503,0.0268,100.3682,128.5647
y_t+60min,0.8,ACI,0.786,0.0131,103.5787,148.4259
y_t+60min,0.8,split-CP,0.7665,0.0711,91.808,148.0809
y_t+60min,0.85,ACI,0.8379,0.0119,119.8157,162.778
y_t+60min,0.85,split-CP,0.8271,0.055,107.9973,161.533
y_t+60min,0.9,ACI,0.8922,0.0094,143.9829,187.9472
y_t+60min,0.9,CQR,0.9036,0.0392,141.5966,174.0046
y_t+60min,0.9,split-CP,0.9031,0.0502,136.776,181.5556
y_t+60min,0.95,ACI,0.9429,0.0083,179.8162,227.1362
y_t+60min,0.95,CQR,0.9591,0.0277,193.723,220.378
y_t+60min,0.95,split-CP,0.9509,0.0375,178.0078,220.6114
y_t+90min,0.8,ACI,0.7862,0.0153,148.9582,204.4113
y_t+90min,0.8,split-CP,0.7496,0.0622,123.3006,199.6631
y_t+90min,0.85,ACI,0.8393,0.0106,168.9282,225.394
y_t+90min,0.85,split-CP,0.8224,0.0525,143.964,215.6086
y_t+90min,0.9,ACI,0.8914,0.0105,197.4964,253.8913
y_t+90min,0.9,CQR,0.9028,0.0509,194.9009,233.7402
y_t+90min,0.9,split-CP,0.8999,0.0499,180.3292,239.5626
y_t+90min,0.95,ACI,0.9386,0.0105,243.3458,299.1861
y_t+90min,0.95,CQR,0.9688,0.0289,264.5467,291.3685
y_t+90min,0.95,split-CP,0.956,0.0369,248.5987,292.7061
