city,horizon,method,n_fac,mean_PICP,std_PICP,mean_MPIW,mean_Winkler,frac_CI_target
belgrade,y_t+15min,split-CP,22,0.8998,0.0412,16.7736,26.8769,0.6364
belgrade,y_t+15min,ACI,22,0.8987,0.0014,17.6229,24.1606,1.0
belgrade,y_t+15min,CQR,22,0.9042,0.0303,12.9891,20.3622,0.6364
belgrade,y_t+15min,ACQR,22,0.899,0.0018,16.7308,22.0903,1.0
belgrade,y_t+30min,split-CP,22,0.9012,0.0553,26.1646,40.9603,0.5909
belgrade,y_t+30min,ACI,22,0.8982,0.003,30.9373,41.6246,1.0
belgrade,y_t+30min,CQR,22,0.8956,0.0441,19.9958,33.2311,0.6364
belgrade,y_t+30min,ACQR,22,0.8987,0.0021,31.1858,40.1646,1.0
belgrade,y_t+5min,split-CP,22,0.9019,0.0337,7.3561,12.4817,0.6818
belgrade,y_t+5min,ACI,22,0.899,0.0009,7.0349,9.9125,1.0
belgrade,y_t+5min,CQR,22,0.9065,0.016,5.4626,8.5216,0.7727
belgrade,y_t+5min,ACQR,22,0.8994,0.0024,6.0998,8.551,1.0
birmingham,y_t+30min,split-CP,28,0.9012,0.0469,76.3439,106.9573,0.7857
birmingham,y_t+30min,ACI,28,0.8955,0.0073,77.2828,108.3731,1.0
birmingham,y_t+30min,CQR,28,0.905,0.0336,79.4816,103.2201,0.8214
birmingham,y_t+30min,ACQR,28,0.8974,0.0101,82.1304,105.3993,1.0
birmingham,y_t+60min,split-CP,28,0.9031,0.0502,136.776,181.5556,0.7857
birmingham,y_t+60min,ACI,28,0.8922,0.0094,143.9829,187.9472,1.0
birmingham,y_t+60min,CQR,28,0.9036,0.0392,141.5966,174.0046,0.7143
birmingham,y_t+60min,ACQR,28,0.8932,0.01,143.9215,181.0937,1.0
birmingham,y_t+90min,split-CP,28,0.8999,0.0499,180.3292,239.5626,0.75
birmingham,y_t+90min,ACI,28,0.8914,0.0105,197.4964,253.8913,1.0
birmingham,y_t+90min,CQR,28,0.9028,0.0509,194.9009,233.7402,0.7143
birmingham,y_t+90min,ACQR,28,0.8901,0.0121,199.8695,250.7014,1.0
