facility_id,dynamic,horizon,model,MAE,RMSE,n_test
1,False,y_t+5min,RF-delta,0.0,0.0,1017
1,False,y_t+5min,persistence,0.0,0.0,1017
1,False,y_t+5min,RF-absolute,0.0,0.0,1017
1,False,y_t+15min,RF-delta,0.0,0.0,1015
1,False,y_t+15min,persistence,0.0,0.0,1015
1,False,y_t+15min,RF-absolute,0.0,0.0,1015
1,False,y_t+30min,RF-delta,0.0,0.0,1012
1,False,y_t+30min,persistence,0.0,0.0,1012
1,False,y_t+30min,RF-absolute,0.0,0.0,1012
2,True,y_t+5min,RF-delta,1.6188472903284856,2.501024245677232,1017
2,True,y_t+5min,persistence,2.1897738446411013,3.660023480535714,1017
2,True,y_t+5min,RF-absolute,3.408864253990476,4.997731262120082,1017
2,True,y_t+15min,RF-delta,3.453946651774608,5.285835163581012,1015
2,True,y_t+15min,persistence,5.850410509031199,9.647366214508876,1015
2,True,y_t+15min,RF-absolute,5.595907471619795,8.15606053617524,1015
2,True,y_t+30min,RF-delta,5.171716348586364,7.753017674160676,1012
2,True,y_t+30min,persistence,11.02619651142808,17.977279553931837,1012
2,True,y_t+30min,RF-absolute,8.452182775605133,12.4131727650749,1012
3,True,y_t+5min,RF-delta,1.6136282004031512,2.5442396790845194,1017
3,True,y_t+5min,persistence,1.9927892494264177,3.221620328282726,1017
3,True,y_t+5min,RF-absolute,3.676374497893668,5.09294644720427,1017
3,True,y_t+15min,RF-delta,3.442110320171526,5.505188914575864,1015
3,True,y_t+15min,persistence,5.132019704433498,8.18405541277994,1015
3,True,y_t+15min,RF-absolute,5.72661177568555,8.178153838519119,1015
3,True,y_t+30min,RF-delta,5.416717467629255,8.676389750255163,1012
3,True,y_t+30min,persistence,9.644115183021135,14.980050095956903,1012
3,True,y_t+30min,RF-absolute,8.40142611531953,12.012302401457434,1012
4,True,y_t+5min,RF-delta,1.9718807655844284,3.231650716328536,1017
4,True,y_t+5min,persistence,2.678138315306457,4.431809720370964,1017
4,True,y_t+5min,RF-absolute,4.031038169008059,6.028283402195545,1017
4,True,y_t+15min,RF-delta,4.242822640135818,6.816697051388228,1015
4,True,y_t+15min,persistence,7.061576354679803,11.586457801190276,1015
4,True,y_t+15min,RF-absolute,6.570995187921907,9.679898849983193,1015
4,True,y_t+30min,RF-delta,6.694741538973337,10.352859247583195,1012
4,True,y_t+30min,persistence,13.433202655095377,21.72583032706532,1012
4,True,y_t+30min,RF-absolute,9.15120989666695,13.052519823018288,1012
5,True,y_t+5min,RF-delta,1.3975500865262431,2.542991040132732,1017
5,True,y_t+5min,persistence,1.7433628318584071,3.6163905133768393,1017
5,True,y_t+5min,RF-absolute,3.092356842468324,5.172019778774482,1017
5,True,y_t+15min,RF-delta,3.3245240166055434,5.717253621024933,1015
5,True,y_t+15min,persistence,4.637766830870278,9.521464818105994,1015
5,True,y_t+15min,RF-absolute,5.541027499220348,8.579074625412382,1015
5,True,y_t+30min,RF-delta,5.842761283165144,9.41353959299466,1012
5,True,y_t+30min,persistence,8.63595405854385,17.500065073112495,1012
5,True,y_t+30min,RF-absolute,9.155891174765555,14.915786466082064,1012
6,True,y_t+5min,RF-delta,0.9732264871404496,1.5160714513311533,1017
6,True,y_t+5min,persistence,0.9308423467715502,1.5286334423356651,1017
6,True,y_t+5min,RF-absolute,1.914929976120243,3.249528722831502,1017
6,True,y_t+15min,RF-delta,2.099750476853925,3.330676047913936,1015
6,True,y_t+15min,persistence,2.0760262725779968,3.409752104529074,1015
6,True,y_t+15min,RF-absolute,2.9008658064340334,4.777488097951301,1015
6,True,y_t+30min,RF-delta,2.9795210456210888,4.887198504062425,1012
6,True,y_t+30min,persistence,3.202739588703672,5.292380764056796,1012
6,True,y_t+30min,RF-absolute,3.614974823212873,5.8644200381864975,1012
7,True,y_t+5min,RF-delta,4.9294191890586925,7.360696569965779,1017
7,True,y_t+5min,persistence,5.893805309734513,8.922815050634966,1017
7,True,y_t+5min,RF-absolute,8.878105021808192,13.390709155705466,1017
7,True,y_t+15min,RF-delta,12.521545496662611,18.134386764767346,1015
