facility_id,dynamic,horizon,level,method,PICP,MPIW,Winkler,n_test,n_cal,gamma,gamma_calB_picp,n_cal_b,picp_ci_lo,picp_ci_hi,n_crossings_cal,n_crossings_test
1,False,y_t+5min,0.8,split-CP,1.0,0.0,0.0,1017,764,,,,,,,
1,False,y_t+5min,0.8,ACI,1.0,0.0,0.0,1017,764,0.002,1.0,382.0,,,,
1,False,y_t+5min,0.85,split-CP,1.0,0.0,0.0,1017,764,,,,,,,
1,False,y_t+5min,0.85,ACI,1.0,0.0,0.0,1017,764,0.002,1.0,382.0,,,,
1,False,y_t+5min,0.9,split-CP,1.0,0.0,0.0,1017,764,,,,1.0,1.0,,
1,False,y_t+5min,0.9,ACI,1.0,0.0,0.0,1017,764,0.002,1.0,382.0,1.0,1.0,,
1,False,y_t+5min,0.95,split-CP,1.0,0.0,0.0,1017,764,,,,,,,
1,False,y_t+5min,0.95,ACI,1.0,0.0,0.0,1017,764,0.002,1.0,382.0,,,,
1,False,y_t+5min,0.9,CQR,1.0,0.0,0.0,1017,764,,,,1.0,1.0,0.0,0.0
1,False,y_t+5min,0.9,ACQR,1.0,0.0,0.0,1017,764,0.002,1.0,382.0,1.0,1.0,0.0,0.0
1,False,y_t+5min,0.95,CQR,1.0,0.0,0.0,1017,764,,,,,,0.0,0.0
1,False,y_t+5min,0.95,ACQR,1.0,0.0,0.0,1017,764,0.002,1.0,382.0,,,0.0,0.0
1,False,y_t+15min,0.8,split-CP,1.0,0.0,0.0,1015,760,,,,,,,
1,False,y_t+15min,0.8,ACI,1.0,0.0,0.0,1015,760,0.002,1.0,380.0,,,,
1,False,y_t+15min,0.85,split-CP,1.0,0.0,0.0,1015,760,,,,,,,
1,False,y_t+15min,0.85,ACI,1.0,0.0,0.0,1015,760,0.002,1.0,380.0,,,,
1,False,y_t+15min,0.9,split-CP,1.0,0.0,0.0,1015,760,,,,1.0,1.0,,
1,False,y_t+15min,0.9,ACI,1.0,0.0,0.0,1015,760,0.002,1.0,380.0,1.0,1.0,,
1,False,y_t+15min,0.95,split-CP,1.0,0.0,0.0,1015,760,,,,,,,
1,False,y_t+15min,0.95,ACI,1.0,0.0,0.0,1015,760,0.002,1.0,380.0,,,,
1,False,y_t+15min,0.9,CQR,1.0,0.0,0.0,1015,760,,,,1.0,1.0,0.0,0.0
1,False,y_t+15min,0.9,ACQR,1.0,0.0,0.0,1015,760,0.002,1.0,380.0,1.0,1.0,0.0,0.0
1,False,y_t+15min,0.95,CQR,1.0,0.0,0.0,1015,760,,,,,,0.0,0.0
1,False,y_t+15min,0.95,ACQR,1.0,0.0,0.0,1015,760,0.002,1.0,380.0,,,0.0,0.0
1,False,y_t+30min,0.8,split-CP,1.0,0.0,0.0,1012,754,,,,,,,
1,False,y_t+30min,0.8,ACI,1.0,0.0,0.0,1012,754,0.002,1.0,377.0,,,,
1,False,y_t+30min,0.85,split-CP,1.0,0.0,0.0,1012,754,,,,,,,
1,False,y_t+30min,0.85,ACI,1.0,0.0,0.0,1012,754,0.002,1.0,377.0,,,,
1,False,y_t+30min,0.9,split-CP,1.0,0.0,0.0,1012,754,,,,1.0,1.0,,
1,False,y_t+30min,0.9,ACI,1.0,0.0,0.0,1012,754,0.002,1.0,377.0,1.0,1.0,,
1,False,y_t+30min,0.95,split-CP,1.0,0.0,0.0,1012,754,,,,,,,
1,False,y_t+30min,0.95,ACI,1.0,0.0,0.0,1012,754,0.002,1.0,377.0,,,,
1,False,y_t+30min,0.9,CQR,1.0,0.0,0.0,1012,754,,,,1.0,1.0,0.0,0.0
1,False,y_t+30min,0.9,ACQR,1.0,0.0,0.0,1012,754,0.002,1.0,377.0,1.0,1.0,0.0,0.0
1,False,y_t+30min,0.95,CQR,1.0,0.0,0.0,1012,754,,,,,,0.0,0.0
1,False,y_t+30min,0.95,ACQR,1.0,0.0,0.0,1012,754,0.002,1.0,377.0,,,0.0,0.0
2,True,y_t+5min,0.8,split-CP,0.8780727630285152,7.311952380952346,9.771042390236566,1017,764,,,,,,,
2,True,y_t+5min,0.8,ACI,0.7954768928220256,5.654299578048597,8.602385696289586,1017,764,0.1,0.8036649214659686,382.0,,,,
2,True,y_t+5min,0.85,split-CP,0.9075712881022616,8.486309523809496,10.937898785028404,1017,764,,,,,,,
2,True,y_t+5min,0.85,ACI,0.8407079646017699,6.282632419266885,9.454935635916222,1017,764,0.1,0.8534031413612565,382.0,,,,
2,True,y_t+5min,0.9,split-CP,0.9360865290068828,10.046373015872971,12.552211759870543,1017,764,,,,0.9117063492063492,0.9563492063492064,,
2,True,y_t+5min,0.9,ACI,0.8888888888888888,7.402880193516381,11.21864722965953,1017,764,0.1,0.900523560209424,382.0,0.8650793650793651,0.9077380952380952,,
2,True,y_t+5min,0.95,split-CP,0.9655850540806292,12.492988095238053,15.178820166950183,1017,764,,,,,,,
2,True,y_t+5min,0.95,ACI,0.943952802359882,9.972227839570024,14.36458996104227,1017,764,0.05,0.950261780104712,382.0,,,,
2,True,y_t+5min,0.9,CQR,0.9233038348082596,6.97460994255833,9.626931671139294,1017,764,,,,0.9017857142857144,0.941468253968254,18.0,5.0
2,True,y_t+5min,0.9,ACQR,0.895771878072763,7.203491611721105,9.744376074416309,1017,764,0.05,0.900523560209424,382.0,0.8819444444444444,0.9087301587301588,18.0,5.0
2,True,y_t+5min,0.95,CQR,0.968534906588004,10.457442580362414,12.855194416308152,1017,764,,,,,,0.0,0.0
2,True,y_t+5min,0.95,ACQR,0.9419862340216324,9.382943218887595,12.62644224235125,1017,764,0.05,0.9476439790575916,382.0,,,0.0,0.0
2,True,y_t+15min,0.8,split-CP,0.8522167487684729,14.895214285714246,20.78761990951029,1015,760,,,,,,,
2,True,y_t+15min,0.8,ACI,0.7931034482758621,11.897644931723994,19.002972241296376,1015,760,0.05,0.8026315789473685,380.0,,,,
2,True,y_t+15min,0.85,split-CP,0.8955665024630541,17.862587301587272,23.24965584139146,1015,760,,,,,,,
2,True,y_t+15min,0.85,ACI,0.8325123152709359,14.0433482757436,23.280377791323204,1015,760,0.002,0.85,380.0,,,,
2,True,y_t+15min,0.9,split-CP,0.934975369458128,22.070281746031696,26.596532078348563,1015,760,,,,0.9087301587301588,0.9583333333333334,,
2,True,y_t+15min,0.9,ACI,0.8847290640394089,17.666486975668015,26.361809674862624,1015,760,0.002,0.9026315789473685,380.0,0.8353174603174603,0.9246031746031746,,
2,True,y_t+15min,0.95,split-CP,0.967487684729064,27.3464166666667,31.490574562775308,1015,760,,,,,,,
2,True,y_t+15min,0.95,ACI,0.9477832512315272,22.474362761440347,30.91197978317066,1015,760,0.02,0.95,380.0,,,,
2,True,y_t+15min,0.9,CQR,0.9103448275862068,16.045712541627385,21.64316392978546,1015,760,,,,0.8829365079365079,0.9365079365079364,1.0,0.0
2,True,y_t+15min,0.9,ACQR,0.8926108374384236,15.11215530660628,21.69515078918489,1015,760,0.005,0.9,380.0,0.8650793650793651,0.9156746031746033,1.0,0.0
2,True,y_t+15min,0.95,CQR,0.9566502463054188,20.530242016290813,26.166126473407644,1015,760,,,,,,0.0,5.0
2,True,y_t+15min,0.95,ACQR,0.9428571428571428,18.71119970647941,26.590349075240365,1015,760,0.002,0.95,380.0,,,0.0,5.0
2,True,y_t+30min,0.8,split-CP,0.8606719367588933,22.9056335978836,31.159775320282485,1012,754,,,,,,,
2,True,y_t+30min,0.8,ACI,0.7905138339920948,17.587439033008373,28.982638983616205,1012,754,0.02,0.8143236074270557,377.0,,,,
2,True,y_t+30min,0.85,split-CP,0.892292490118577,27.52270899470897,34.722118045254405,1012,754,,,,,,,
2,True,y_t+30min,0.85,ACI,0.8399209486166008,21.345896807681367,31.462608847006774,1012,754,0.02,0.8594164456233422,377.0,,,,
2,True,y_t+30min,0.9,split-CP,0.933794466403162,34.44574999999998,39.53175969106649,1012,754,,,,0.8948412698412699,0.9652777777777778,,
2,True,y_t+30min,0.9,ACI,0.8863636363636364,24.923264097896016,35.83224813803672,1012,754,0.02,0.9018567639257294,377.0,0.8422619047619048,0.9206349206349206,,
2,True,y_t+30min,0.95,split-CP,0.991106719367589,47.96896873235459,48.851786898487966,1012,754,,,,,,,
2,True,y_t+30min,0.95,ACI,0.9407114624505928,33.43134201873555,42.27989950249757,1012,754,0.02,0.9549071618037136,377.0,,,,
2,True,y_t+30min,0.9,CQR,0.9426877470355732,27.69033301709838,33.32295051524661,1012,754,,,,0.9136904761904762,0.9652777777777778,0.0,2.0
2,True,y_t+30min,0.9,ACQR,0.892292490118577,25.203437486760134,34.72592684752934,1012,754,0.02,0.9018567639257294,377.0,0.8571428571428571,0.9186507936507936,0.0,2.0
2,True,y_t+30min,0.95,CQR,0.9762845849802372,37.72618752135846,42.99076989754784,1012,754,,,,,,0.0,0.0
2,True,y_t+30min,0.95,ACQR,0.9426877470355732,30.52944513742653,42.98854364274936,1012,754,0.005,0.9496021220159152,377.0,,,0.0,0.0
3,True,y_t+5min,0.8,split-CP,0.8289085545722714,5.390944801647611,9.364417351394737,1017,764,,,,,,,
3,True,y_t+5min,0.8,ACI,0.7935103244837758,5.2871656615854015,8.174298975438232,1017,764,0.1,0.8010471204188482,382.0,,,,
3,True,y_t+5min,0.85,split-CP,0.872173058013766,6.547700530318395,10.613510964103268,1017,764,,,,,,,
3,True,y_t+5min,0.85,ACI,0.8466076696165191,5.694169653082632,9.835328800756038,1017,764,0.02,0.8507853403141361,382.0,,,,
3,True,y_t+5min,0.9,split-CP,0.903638151425762,7.972531190835657,12.377938400072749,1017,764,,,,0.8690476190476191,0.9375,,
3,True,y_t+5min,0.9,ACI,0.8977384464110127,6.896493183097903,11.565332197792376,1017,764,0.02,0.900523560209424,382.0,0.8611111111111112,0.9285714285714286,,
3,True,y_t+5min,0.95,split-CP,0.9429695181907572,10.032670769063968,15.50227854793427,1017,764,,,,,,,
3,True,y_t+5min,0.95,ACI,0.9488692232055064,9.8056671684683,14.671313352649385,1017,764,0.02,0.950261780104712,382.0,,,,
3,True,y_t+5min,0.9,CQR,0.9085545722713864,6.262392435718897,10.67858026622382,1017,764,,,,0.8779761904761905,0.933531746031746,0.0,0.0
3,True,y_t+5min,0.9,ACQR,0.9016715830875124,6.767994181201381,10.22696485428088,1017,764,0.02,0.900523560209424,382.0,0.8809523809523809,0.921626984126984,0.0,0.0
3,True,y_t+5min,0.95,CQR,0.9459193706981318,7.796148961304134,13.561206717682266,1017,764,,,,,,0.0,0.0
3,True,y_t+5min,0.95,ACQR,0.951819075712881,8.747375757529525,13.192240127303627,1017,764,0.01,0.9476439790575916,382.0,,,0.0,0.0
3,True,y_t+15min,0.8,split-CP,0.8344827586206897,11.554033104119922,20.331085896292173,1015,760,,,,,,,
3,True,y_t+15min,0.8,ACI,0.7891625615763547,10.79939984007053,18.151408085018428,1015,760,0.05,0.8,380.0,,,,
3,True,y_t+15min,0.85,split-CP,0.8679802955665025,13.396884482849709,23.16123672684732,1015,760,,,,,,,
3,True,y_t+15min,0.85,ACI,0.8443349753694581,12.42065345612698,23.55938102582664,1015,760,0.005,0.8473684210526315,380.0,,,,
3,True,y_t+15min,0.9,split-CP,0.9004926108374385,16.435103194242355,27.415201607414662,1015,760,,,,0.8591269841269841,0.9365079365079364,,
3,True,y_t+15min,0.9,ACI,0.8916256157635468,16.65656652844054,26.581122878950097,1015,760,0.02,0.9,380.0,0.8511904761904762,0.925595238095238,,
3,True,y_t+15min,0.95,split-CP,0.9389162561576356,21.80228048788012,34.56795815121294,1015,760,,,,,,,
3,True,y_t+15min,0.95,ACI,0.9477832512315272,26.37663460013805,35.26085891459389,1015,760,0.005,0.95,380.0,,,,
3,True,y_t+15min,0.9,CQR,0.8817733990147784,13.494300006783837,25.349882616313288,1015,760,,,,0.8373015873015873,0.91765873015873,0.0,0.0
3,True,y_t+15min,0.9,ACQR,0.8985221674876848,15.593075678827482,24.62947471489451,1015,760,0.02,0.9,380.0,0.8670634920634921,0.9246031746031746,0.0,0.0
3,True,y_t+15min,0.95,CQR,0.9261083743842364,17.738016160319308,32.360281109283626,1015,760,,,,,,0.0,0.0
3,True,y_t+15min,0.95,ACQR,0.9527093596059112,24.50350506887069,32.86686766342627,1015,760,0.005,0.95,380.0,,,0.0,0.0
3,True,y_t+30min,0.8,split-CP,0.8191699604743083,17.401987495131184,31.68918150544413,1012,754,,,,,,,
3,True,y_t+30min,0.8,ACI,0.7924901185770751,18.827878481194364,32.256034028127395,1012,754,0.02,0.7771883289124668,377.0,,,,
3,True,y_t+30min,0.85,split-CP,0.8646245059288538,22.018596531927745,36.07357766725646,1012,754,,,,,,,
3,True,y_t+30min,0.85,ACI,0.8507905138339921,21.99541486870648,37.33305257151103,1012,754,0.005,0.8222811671087533,377.0,,,,
3,True,y_t+30min,0.9,split-CP,0.91600790513834,27.976064596861463,41.89688267435199,1012,754,,,,0.8740079365079365,0.9503968253968254,,
