facility_id,dynamic,horizon,level,method,PICP,MPIW,Winkler,n_test,n_cal,picp_ci_lo,picp_ci_hi,n_crossings_cal,n_crossings_test
1,False,y_t+5min,0.8,split-CP,1.0,0.0,0.0,1017,764,,,,
1,False,y_t+5min,0.8,ACI,1.0,0.0,0.0,1017,764,,,,
1,False,y_t+5min,0.85,split-CP,1.0,0.0,0.0,1017,764,,,,
1,False,y_t+5min,0.85,ACI,1.0,0.0,0.0,1017,764,,,,
1,False,y_t+5min,0.9,split-CP,1.0,0.0,0.0,1017,764,1.0,1.0,,
1,False,y_t+5min,0.9,ACI,1.0,0.0,0.0,1017,764,1.0,1.0,,
1,False,y_t+5min,0.95,split-CP,1.0,0.0,0.0,1017,764,,,,
1,False,y_t+5min,0.95,ACI,1.0,0.0,0.0,1017,764,,,,
1,False,y_t+5min,0.9,CQR,1.0,0.0,0.0,1017,764,1.0,1.0,0.0,0.0
1,False,y_t+5min,0.9,ACQR,1.0,0.0,0.0,1017,764,1.0,1.0,0.0,0.0
1,False,y_t+5min,0.95,CQR,1.0,0.0,0.0,1017,764,,,0.0,0.0
1,False,y_t+5min,0.95,ACQR,1.0,0.0,0.0,1017,764,,,0.0,0.0
1,False,y_t+15min,0.8,split-CP,1.0,0.0,0.0,1015,760,,,,
1,False,y_t+15min,0.8,ACI,1.0,0.0,0.0,1015,760,,,,
1,False,y_t+15min,0.85,split-CP,1.0,0.0,0.0,1015,760,,,,
1,False,y_t+15min,0.85,ACI,1.0,0.0,0.0,1015,760,,,,
1,False,y_t+15min,0.9,split-CP,1.0,0.0,0.0,1015,760,1.0,1.0,,
1,False,y_t+15min,0.9,ACI,1.0,0.0,0.0,1015,760,1.0,1.0,,
1,False,y_t+15min,0.95,split-CP,1.0,0.0,0.0,1015,760,,,,
1,False,y_t+15min,0.95,ACI,1.0,0.0,0.0,1015,760,,,,
1,False,y_t+15min,0.9,CQR,1.0,0.0,0.0,1015,760,1.0,1.0,0.0,0.0
1,False,y_t+15min,0.9,ACQR,1.0,0.0,0.0,1015,760,1.0,1.0,0.0,0.0
