facility_id,dynamic,horizon,level,method,PICP,MPIW,Winkler,n_test,n_cal,gamma,gamma_calB_picp,n_cal_b,picp_ci_lo,picp_ci_hi,n_crossings_cal,n_crossings_test
1,True,y_t+30min,0.8,split-CP,0.7111111111111111,24.891410714285712,48.12529168002779,135,150,,,,,,,
1,True,y_t+30min,0.8,ACI,0.7925925925925926,31.351878516647965,47.92763454251511,135,150,0.1,0.84,75.0,,,,
1,True,y_t+30min,0.85,split-CP,0.8518518518518519,35.14355952380947,51.60427077209486,135,150,,,,,,,
1,True,y_t+30min,0.85,ACI,0.8444444444444444,39.24760504382449,54.83911095834892,135,150,0.1,0.88,75.0,,,,
1,True,y_t+30min,0.9,split-CP,0.9111111111111112,42.628595238095215,59.05702601410936,135,150,,,,0.8636363636363636,0.946969696969697,,
1,True,y_t+30min,0.9,ACI,0.8888888888888888,42.46559181230292,62.14319469296137,135,150,0.1,0.9333333333333332,75.0,0.8333333333333334,0.9318181818181818,,
1,True,y_t+30min,0.95,split-CP,0.9703703703703704,59.772369047619,73.91804629629625,135,150,,,,,,,
1,True,y_t+30min,0.95,ACI,0.925925925925926,58.01091661723051,81.84495835738333,135,150,0.1,0.9733333333333334,75.0,,,,
1,True,y_t+30min,0.9,CQR,0.8888888888888888,43.113620947251086,62.67502205618633,135,150,,,,0.8409090909090909,0.9242424242424242,0.0,0.0
1,True,y_t+30min,0.9,ACQR,0.8888888888888888,52.1338702056044,68.82745717612191,135,150,0.1,0.92,75.0,0.8484848484848485,0.9166666666666666,0.0,0.0
1,True,y_t+30min,0.95,CQR,0.9407407407407408,51.29422617700466,70.0823166300049,135,150,,,,,,0.0,0.0
1,True,y_t+30min,0.95,ACQR,0.9333333333333332,57.14204852602118,75.14030109325013,135,150,0.1,0.96,75.0,,,0.0,0.0
1,True,y_t+60min,0.8,split-CP,0.7185185185185186,45.98005952380958,83.60517233178341,135,150,,,,,,,
1,True,y_t+60min,0.8,ACI,0.7777777777777778,60.68373503286837,94.5340005785367,135,150,0.1,0.8266666666666667,75.0,,,,
1,True,y_t+60min,0.85,split-CP,0.837037037037037,58.06776190476194,90.4608473001621,135,150,,,,,,,
1,True,y_t+60min,0.85,ACI,0.8222222222222222,65.79126530115975,102.13947685229724,135,150,0.1,0.88,75.0,,,,
1,True,y_t+60min,0.9,split-CP,0.9037037037037036,78.06559523809526,104.29341754850088,135,150,,,,0.8409090909090909,0.9545454545454546,,
1,True,y_t+60min,0.9,ACI,0.8666666666666667,84.21215286863342,113.45571201833148,135,150,0.1,0.92,75.0,0.803030303030303,0.9166666666666666,,
1,True,y_t+60min,0.95,split-CP,0.9481481481481482,98.32840476190472,124.48759318048208,135,150,,,,,,,
1,True,y_t+60min,0.95,ACI,0.9111111111111112,96.16918361658918,129.49722800224464,135,150,0.1,0.9733333333333334,75.0,,,,
1,True,y_t+60min,0.9,CQR,0.9111111111111112,82.98189147711902,104.24834726848626,135,150,,,,0.8636363636363636,0.946969696969697,0.0,0.0
1,True,y_t+60min,0.9,ACQR,0.8740740740740741,90.28050628857818,117.74974239592618,135,150,0.1,0.8933333333333333,75.0,0.8106060606060606,0.9242424242424242,0.0,0.0
1,True,y_t+60min,0.95,CQR,0.9555555555555556,99.9510502484178,119.43057079089073,135,150,,,,,,0.0,0.0
1,True,y_t+60min,0.95,ACQR,0.9407407407407408,107.7185060373682,122.03689883096514,135,150,0.05,0.9466666666666668,75.0,,,0.0,0.0
1,True,y_t+90min,0.8,split-CP,0.7333333333333333,60.85658333333332,127.06596516754853,135,150,,,,,,,
1,True,y_t+90min,0.8,ACI,0.7703703703703704,90.18388069317514,140.95623900513064,135,150,0.1,0.8133333333333334,75.0,,,,
1,True,y_t+90min,0.85,split-CP,0.8074074074074075,76.82505357142857,140.71557561728395,135,150,,,,,,,
1,True,y_t+90min,0.85,ACI,0.8074074074074075,102.40830301426968,160.7011061692765,135,150,0.1,0.88,75.0,,,,
1,True,y_t+90min,0.9,split-CP,0.8740740740740741,103.6161547619048,158.32864432686657,135,150,,,,0.7954545454545454,0.9393939393939394,,
1,True,y_t+90min,0.9,ACI,0.8666666666666667,100.87621537731818,166.06589821094548,135,150,0.002,0.92,75.0,0.7878787878787878,0.9318181818181818,,
1,True,y_t+90min,0.95,split-CP,0.9703703703703704,164.43590476190482,186.6262322163433,135,150,,,,,,,
1,True,y_t+90min,0.95,ACI,0.9185185185185184,130.9237453877398,240.68869803591463,135,150,0.1,0.96,75.0,,,,
1,True,y_t+90min,0.9,CQR,0.8444444444444444,97.70260086415604,142.38869669472234,135,150,,,,0.7651515151515151,0.9015151515151516,0.0,0.0
1,True,y_t+90min,0.9,ACQR,0.8666666666666667,114.21642558215952,153.63737073950787,135,150,0.1,0.9066666666666666,75.0,0.7954545454545454,0.9166666666666666,0.0,0.0
1,True,y_t+90min,0.95,CQR,0.9629629629629628,144.1317256809116,162.0908076812315,135,150,,,,,,0.0,0.0
1,True,y_t+90min,0.95,ACQR,0.9185185185185184,143.1954240843139,194.49938919707805,135,150,0.05,0.96,75.0,,,0.0,0.0
2,True,y_t+30min,0.8,split-CP,0.7241379310344828,20.43404761904762,49.58724232006019,116,150,,,,,,,
2,True,y_t+30min,0.8,ACI,0.7758620689655172,28.64920628078817,44.32988644293925,116,150,0.1,0.8,75.0,,,,
2,True,y_t+30min,0.85,split-CP,0.8362068965517241,30.254678571428595,54.681825305601166,116,150,,,,,,,
2,True,y_t+30min,0.85,ACI,0.8275862068965517,33.59595209412235,50.85744080336969,116,150,0.1,0.8533333333333334,75.0,,,,
2,True,y_t+30min,0.9,split-CP,0.8706896551724138,37.783702380952384,63.11786870552821,116,150,,,,0.7894736842105263,0.9473684210526316,,
2,True,y_t+30min,0.9,ACI,0.8706896551724138,44.49041362600524,57.81227740279357,116,150,0.05,0.9066666666666666,75.0,0.8070175438596491,0.9385964912280702,,
2,True,y_t+30min,0.95,split-CP,0.956896551724138,55.01770833333336,84.2611401888341,116,150,,,,,,,
2,True,y_t+30min,0.95,ACI,0.9224137931034484,49.48145592948718,66.58408660819542,116,150,0.1,0.9466666666666668,75.0,,,,
2,True,y_t+30min,0.9,CQR,0.9224137931034484,38.12200796867617,46.14240012694225,116,150,,,,0.8771929824561403,0.9649122807017544,0.0,0.0
2,True,y_t+30min,0.9,ACQR,0.913793103448276,37.1050550249586,46.5868931066667,116,150,0.002,0.9066666666666666,75.0,0.868421052631579,0.956140350877193,0.0,0.0
2,True,y_t+30min,0.95,CQR,0.9396551724137931,46.44141095861412,53.13189145858552,116,150,,,,,,0.0,0.0
2,True,y_t+30min,0.95,ACQR,0.9396551724137931,46.77382764087937,54.79760702893641,116,150,0.002,0.9466666666666668,75.0,,,0.0,0.0
2,True,y_t+60min,0.8,split-CP,0.6724137931034483,32.93236904761906,77.46024153851415,116,150,,,,,,,
2,True,y_t+60min,0.8,ACI,0.7672413793103449,39.4763432446385,71.06317776607972,116,150,0.05,0.8,75.0,,,,
2,True,y_t+60min,0.85,split-CP,0.7758620689655172,42.14045238095236,85.0081679500257,116,150,,,,,,,
2,True,y_t+60min,0.85,ACI,0.8189655172413793,49.55295854385078,84.03458033441653,116,150,0.05,0.84,75.0,,,,
2,True,y_t+60min,0.9,split-CP,0.8620689655172413,58.58219047619048,95.33803013820472,116,150,,,,0.7982456140350878,0.9385964912280702,,
2,True,y_t+60min,0.9,ACI,0.8706896551724138,60.278110666393,97.62699288451012,116,150,0.01,0.9066666666666666,75.0,0.8157894736842105,0.9385964912280702,,
2,True,y_t+60min,0.95,split-CP,0.9310344827586208,79.06225793650792,116.70866803503006,116,150,,,,,,,
2,True,y_t+60min,0.95,ACI,0.9396551724137931,83.65964248084292,116.1777589285714,116,150,0.02,0.9466666666666668,75.0,,,,
2,True,y_t+60min,0.9,CQR,0.9051724137931034,67.28610574325181,75.55743248300936,116,150,,,,0.8508771929824561,0.956140350877193,0.0,0.0
2,True,y_t+60min,0.9,ACQR,0.8879310344827587,63.25281154657488,80.49626071209242,116,150,0.05,0.9066666666666666,75.0,0.8328947368421042,0.9385964912280702,0.0,0.0
2,True,y_t+60min,0.95,CQR,0.956896551724138,82.32970112477912,92.27667281380022,116,150,,,,,,0.0,0.0
2,True,y_t+60min,0.95,ACQR,0.9224137931034484,80.76804024315297,98.07275948465056,116,150,0.05,0.9466666666666668,75.0,,,0.0,0.0
2,True,y_t+90min,0.8,split-CP,0.6982758620689655,44.52916666666663,108.40894097999704,116,150,,,,,,,
2,True,y_t+90min,0.8,ACI,0.6982758620689655,44.842531609195404,107.48296709863416,116,150,0.002,0.8,75.0,,,,
2,True,y_t+90min,0.85,split-CP,0.75,53.135043650793705,122.62765335829552,116,150,,,,,,,
2,True,y_t+90min,0.85,ACI,0.7413793103448276,54.45521820265464,115.7439799581405,116,150,0.002,0.8533333333333334,75.0,,,,
2,True,y_t+90min,0.9,split-CP,0.7931034482758621,70.7581666666667,133.3333577399612,116,150,,,,0.6754385964912281,0.9035087719298246,,
2,True,y_t+90min,0.9,ACI,0.8189655172413793,74.17159865900382,125.50115754839032,116,150,0.002,0.9066666666666666,75.0,0.7192982456140351,0.912280701754386,,
2,True,y_t+90min,0.95,split-CP,0.8879310344827587,89.46717857142859,154.47536654724576,116,150,,,,,,,
2,True,y_t+90min,0.95,ACI,0.9224137931034484,99.84474963302982,140.51333443424392,116,150,0.01,0.9466666666666668,75.0,,,,
2,True,y_t+90min,0.9,CQR,0.8275862068965517,76.44872999524316,116.08153018504235,116,150,,,,0.7456140350877193,0.9035087719298246,0.0,0.0
2,True,y_t+90min,0.9,ACQR,0.8620689655172413,89.93435315573741,109.29872793472586,116,150,0.05,0.8933333333333333,75.0,0.7894736842105263,0.9210526315789472,0.0,0.0
2,True,y_t+90min,0.95,CQR,0.9913793103448276,122.79867896213564,126.67379313829952,116,150,,,,,,0.0,0.0
2,True,y_t+90min,0.95,ACQR,0.9224137931034484,112.80100328307294,129.35761011120647,116,150,0.1,0.9466666666666668,75.0,,,0.0,0.0
3,True,y_t+30min,0.8,split-CP,0.7637795275590551,39.05622023809519,81.32558320834896,127,150,,,,,,,
