horizon,h,facility_id,method,gamma,window_mult,PICP,MPIW,Winkler
y_t+30min,1,1,split-CP,,,0.9111111111111111,42.628595238095215,59.05702601410936
y_t+30min,1,1,ACI,0.002,1.0,0.8666666666666667,38.540011525305964,62.505856081983886
y_t+30min,1,1,ACI,0.005,1.0,0.8666666666666667,38.5847123884346,62.29187302923417
y_t+30min,1,1,ACI,0.01,1.0,0.8814814814814815,37.711886598792155,62.786105494094414
y_t+30min,1,1,ACI,0.02,1.0,0.8814814814814815,39.479890502912745,61.683362925551855
y_t+30min,1,1,ACI,0.05,1.0,0.8888888888888888,44.900864715942504,62.705866920528045
y_t+30min,1,1,ACI,0.1,1.0,0.8888888888888888,42.46559181230292,62.14319469296137
y_t+30min,1,2,split-CP,,,0.8706896551724138,37.783702380952384,63.117868705528196
y_t+30min,1,2,ACI,0.002,1.0,0.8793103448275862,39.160764098090624,63.934376406519746
y_t+30min,1,2,ACI,0.005,1.0,0.8793103448275862,39.67038375094732,64.71682230879755
y_t+30min,1,2,ACI,0.01,1.0,0.8706896551724138,40.317035924803164,65.43177217275064
y_t+30min,1,2,ACI,0.02,1.0,0.8706896551724138,41.802621080428196,66.49218491458257
y_t+30min,1,2,ACI,0.05,1.0,0.8706896551724138,44.490413626005235,57.81227740279357
y_t+30min,1,2,ACI,0.1,1.0,0.8706896551724138,41.027648495063374,54.3739862413688
y_t+30min,1,3,split-CP,,,0.8976377952755905,58.41301190476182,110.43941751031124
y_t+30min,1,3,ACI,0.002,1.0,0.889763779527559,62.47250248406442,115.60414243532057
y_t+30min,1,3,ACI,0.005,1.0,0.889763779527559,61.74502573115854,115.86228013685788
y_t+30min,1,3,ACI,0.01,1.0,0.8818897637795275,61.47240444944379,114.8829490688664
y_t+30min,1,3,ACI,0.02,1.0,0.889763779527559,62.34659250406195,115.67763549868768
y_t+30min,1,3,ACI,0.05,1.0,0.8976377952755905,70.51223712660918,111.28489366954136
y_t+30min,1,3,ACI,0.1,1.0,0.8818897637795275,67.55235858017748,97.4062182539683
y_t+30min,1,4,split-CP,,,0.8814814814814815,32.63679761904758,55.52180129335687
y_t+30min,1,4,ACI,0.002,1.0,0.8888888888888888,35.26547698412696,55.767833392122284
y_t+30min,1,4,ACI,0.005,1.0,0.8888888888888888,35.77984719282773,55.88689231334511
y_t+30min,1,4,ACI,0.01,1.0,0.8888888888888888,36.760557951205165,56.268879379776614
y_t+30min,1,4,ACI,0.02,1.0,0.8962962962962963,36.59789466490299,56.39678487654324
y_t+30min,1,4,ACI,0.05,1.0,0.8962962962962963,37.88695408583187,58.66096084656087
y_t+30min,1,4,ACI,0.1,1.0,0.8962962962962963,43.034432348618466,63.48673834509113
y_t+30min,1,5,split-CP,,,0.9485294117647058,132.81002380952373,172.4399642857143
y_t+30min,1,5,ACI,0.002,1.0,0.9191176470588235,116.86318896024316,169.1150608965177
y_t+30min,1,5,ACI,0.005,1.0,0.9191176470588235,114.56351626559712,168.81084148735252
y_t+30min,1,5,ACI,0.01,1.0,0.9117647058823529,112.47946049916176,168.1248327484403
y_t+30min,1,5,ACI,0.02,1.0,0.9117647058823529,108.30186663112214,168.4700618580766
y_t+30min,1,5,ACI,0.05,1.0,0.9044117647058824,109.5353804775698,169.3054919786097
y_t+30min,1,5,ACI,0.1,1.0,0.9044117647058824,116.60454094649224,178.87703464662383
y_t+30min,1,6,split-CP,,,0.8602941176470589,122.66536904761915,193.4309054913632
y_t+30min,1,6,ACI,0.002,1.0,0.875,130.71957469654524,195.66498290149397
y_t+30min,1,6,ACI,0.005,1.0,0.875,131.78316033496728,195.94193951330539
y_t+30min,1,6,ACI,0.01,1.0,0.875,133.92683015289447,195.61491707516342
y_t+30min,1,6,ACI,0.02,1.0,0.8823529411764706,128.8914049077964,197.43482986111115
y_t+30min,1,6,ACI,0.05,1.0,0.8897058823529411,142.0787787255637,200.11009671109127
y_t+30min,1,6,ACI,0.1,1.0,0.8897058823529411,132.1587321378581,190.00696903678437
y_t+30min,1,7,split-CP,,,0.8602941176470589,44.3054166666667,67.46555555555554
y_t+30min,1,7,ACI,0.002,1.0,0.8602941176470589,45.34400603991599,66.02084179505134
y_t+30min,1,7,ACI,0.005,1.0,0.8676470588235294,45.4256773459384,65.74439393674136
y_t+30min,1,7,ACI,0.01,1.0,0.875,45.575126006652674,66.01618299194679
y_t+30min,1,7,ACI,0.02,1.0,0.875,46.55126546451914,65.84504989495798
y_t+30min,1,7,ACI,0.05,1.0,0.8823529411764706,50.43751184640523,66.40123281395891
y_t+30min,1,7,ACI,0.1,1.0,0.8823529411764706,50.96528711484593,66.6675996440243
y_t+30min,1,9,split-CP,,,0.9629629629629629,33.242732142857115,38.9879524811608
y_t+30min,1,9,ACI,0.002,1.0,0.9037037037037037,25.14103097643096,37.815608631286395
y_t+30min,1,9,ACI,0.005,1.0,0.8888888888888888,24.00585130137353,37.29835429426542
y_t+30min,1,9,ACI,0.01,1.0,0.8888888888888888,22.805920570787237,37.29191371653039
