horizon,h,facility_id,method,gamma,window_mult,PICP,MPIW,Winkler
y_t+15min,3,2,split-CP,,,0.9349753694581281,22.070281746031696,26.596532078348563
y_t+15min,3,2,ACI,0.01,0.5,0.9004926108374385,17.05702650525902,24.783842870885724
y_t+15min,3,2,ACI,0.01,1.0,0.8955665024630541,17.101138676822178,24.656859873067994
y_t+15min,3,2,ACI,0.01,2.0,0.896551724137931,17.034473344398712,24.868757620421913
y_t+15min,3,2,ACI,0.02,0.5,0.8985221674876848,16.964282192201157,24.572974774842013
y_t+15min,3,2,ACI,0.02,1.0,0.8975369458128079,16.748221480936504,24.5633545012641
y_t+15min,3,2,ACI,0.02,2.0,0.8985221674876848,16.490768386184147,24.342054470105698
y_t+15min,3,2,ACI,0.05,0.5,0.8906403940886699,15.373126128159381,24.546733901885382
y_t+15min,3,2,ACI,0.05,1.0,0.8886699507389163,15.94900199342712,25.020959179645384
y_t+15min,3,2,ACI,0.05,2.0,0.8906403940886699,16.43781676642095,24.847795719688083
y_t+15min,3,2,ACI,0.1,0.5,0.870935960591133,16.01407954373669,24.969417518843127
y_t+15min,3,2,ACI,0.1,1.0,0.8738916256157635,16.28245529527032,25.527073925864315
y_t+15min,3,2,ACI,0.1,2.0,0.8778325123152709,16.730626953679412,25.31305908877658
y_t+15min,3,2,ACI,0.2,0.5,0.8463054187192118,16.539048801645354,26.758052225515765
y_t+15min,3,2,ACI,0.2,1.0,0.8443349753694581,16.755378118624673,27.071620599734146
y_t+15min,3,2,ACI,0.2,2.0,0.8512315270935961,18.11511033286181,27.78129897153568
y_t+15min,3,2,ACI,0.5,0.5,0.7783251231527094,16.76181282624509,32.03860049059679
y_t+15min,3,2,ACI,0.5,1.0,0.7832512315270936,17.71148699059561,32.95330598987766
y_t+15min,3,2,ACI,0.5,2.0,0.7921182266009852,19.08258615014798,33.01064554067534
y_t+15min,3,3,split-CP,,,0.9004926108374385,17.30349735449735,28.28359576766966
