fold,facility_id,n_train,n_cal,n_test,n_test_dates,std_train,dynamic_fold,dynamic_archived,degenerate,n_qcross_cal,n_qcross_test,method,gamma_mode,gamma,PICP,MPIW,Winkler
F1,1,1254,673,463,3,0.0,False,False,True,0,0,split-CP,,,1.0,0.0,0.0
F1,1,1254,673,463,3,0.0,False,False,True,0,0,CQR,,,1.0,0.0,0.0
F1,1,1254,673,463,3,0.0,False,False,True,0,0,ACI,calibrated,0.002,1.0,0.0,0.0
F1,1,1254,673,463,3,0.0,False,False,True,0,0,ACQR,calibrated,0.002,1.0,0.0,0.0
F1,1,1254,673,463,3,0.0,False,False,True,0,0,ACI,fixed05,0.05,1.0,0.0,0.0
F1,1,1254,673,463,3,0.0,False,False,True,0,0,ACQR,fixed05,0.05,1.0,0.0,0.0
F1,2,1254,673,463,3,109.94523859537776,True,True,False,0,0,split-CP,,,0.8596112311015118,19.29726984126989,28.981206892539483
F1,2,1254,673,463,3,109.94523859537776,True,True,False,0,0,CQR,,,0.9136069114470844,18.949185252936346,25.092234199432752
F1,2,1254,673,463,3,109.94523859537776,True,True,False,0,0,ACI,calibrated,0.05,0.9006479481641468,19.756704830886257,28.078665325994685
F1,2,1254,673,463,3,109.94523859537776,True,True,False,0,0,ACQR,calibrated,0.05,0.8941684665226782,19.59291225621293,26.49748474002996
F1,2,1254,673,463,3,109.94523859537776,True,True,False,0,0,ACI,fixed05,0.05,0.9006479481641468,19.756704830886257,28.078665325994685
F1,2,1254,673,463,3,109.94523859537776,True,True,False,0,0,ACQR,fixed05,0.05,0.8941684665226782,19.59291225621293,26.49748474002996
F1,3,1254,673,463,3,79.31863420606666,True,True,False,0,0,split-CP,,,0.8768898488120951,16.53110139422615,24.918419520464333
F1,3,1254,673,463,3,79.31863420606666,True,True,False,0,0,CQR,,,0.8876889848812095,15.396388891973864,22.248059672095657
F1,3,1254,673,463,3,79.31863420606666,True,True,False,0,0,ACI,calibrated,0.05,0.9049676025917928,17.312971653696273,23.172911380596044
F1,3,1254,673,463,3,79.31863420606666,True,True,False,0,0,ACQR,calibrated,0.002,0.9092872570194384,17.616326180975577,22.571512553060856
F1,3,1254,673,463,3,79.31863420606666,True,True,False,0,0,ACI,fixed05,0.05,0.9049676025917928,17.312971653696273,23.172911380596044
F1,3,1254,673,463,3,79.31863420606666,True,True,False,0,0,ACQR,fixed05,0.05,0.9049676025917928,17.27859194484543,22.5435663887733
F1,4,1254,673,463,3,136.50545577692031,True,True,False,1,1,split-CP,,,0.9006479481641468,27.92178154526861,46.17767849169468
F1,4,1254,673,463,3,136.50545577692031,True,True,False,1,1,CQR,,,0.9092872570194384,23.017016487010466,39.25442937574688
F1,4,1254,673,463,3,136.50545577692031,True,True,False,1,1,ACI,calibrated,0.002,0.8833693304535637,26.66254000433213,46.584009097194304
F1,4,1254,673,463,3,136.50545577692031,True,True,False,1,1,ACQR,calibrated,0.02,0.9006479481641468,27.20228312738793,40.96537867341989
F1,4,1254,673,463,3,136.50545577692031,True,True,False,1,1,ACI,fixed05,0.05,0.8876889848812095,25.388868481170856,41.05681858022788
F1,4,1254,673,463,3,136.50545577692031,True,True,False,1,1,ACQR,fixed05,0.05,0.8876889848812095,25.87832255674679,38.680349185446296
F1,5,1254,673,463,3,95.06797639720322,True,True,False,3,4,split-CP,,,0.9200863930885528,32.39987445887448,50.37863780456006
F1,5,1254,673,463,3,95.06797639720322,True,True,False,3,4,CQR,,,0.9460043196544276,21.065839733321955,35.141917785546795
F1,5,1254,673,463,3,95.06797639720322,True,True,False,3,4,ACI,calibrated,0.05,0.8833693304535637,31.17429294162961,53.53112639495334
F1,5,1254,673,463,3,95.06797639720322,True,True,False,3,4,ACQR,calibrated,0.05,0.8941684665226782,24.781432446666948,40.96974721379237
F1,5,1254,673,463,3,95.06797639720322,True,True,False,3,4,ACI,fixed05,0.05,0.8833693304535637,31.17429294162961,53.53112639495334
F1,5,1254,673,463,3,95.06797639720322,True,True,False,3,4,ACQR,fixed05,0.05,0.8941684665226782,24.781432446666948,40.96974721379237
F1,6,1254,673,463,3,24.566805917554586,True,True,False,0,0,split-CP,,,0.9503239740820736,11.996899470899464,13.02938521489709
F1,6,1254,673,463,3,24.566805917554586,True,True,False,0,0,CQR,,,0.9503239740820736,10.063788282443785,10.982140402388628
F1,6,1254,673,463,3,24.566805917554586,True,True,False,0,0,ACI,calibrated,0.02,0.9114470842332614,10.51829759411455,12.332231450834584
F1,6,1254,673,463,3,24.566805917554586,True,True,False,0,0,ACQR,calibrated,0.01,0.9157667386609072,8.568297236123628,10.674451063699085
F1,6,1254,673,463,3,24.566805917554586,True,True,False,0,0,ACI,fixed05,0.05,0.9136069114470844,9.15486396620738,11.234013062851076
F1,6,1254,673,463,3,24.566805917554586,True,True,False,0,0,ACQR,fixed05,0.05,0.9028077753779696,8.825002691976383,10.519423016553292
F1,7,1254,673,463,3,55.555112867806486,True,True,False,1,0,split-CP,,,0.937365010799136,55.21980158730162,69.61836819807664
F1,7,1254,673,463,3,55.555112867806486,True,True,False,1,0,CQR,,,0.9265658747300216,49.53309889842534,58.04288002310509
F1,7,1254,673,463,3,55.555112867806486,True,True,False,1,0,ACI,calibrated,0.05,0.8941684665226782,52.08619665491696,72.92016482058058
F1,7,1254,673,463,3,55.555112867806486,True,True,False,1,0,ACQR,calibrated,0.05,0.9028077753779696,45.79929502713704,61.17786520968476
F1,7,1254,673,463,3,55.555112867806486,True,True,False,1,0,ACI,fixed05,0.05,0.8941684665226782,52.08619665491696,72.92016482058058
F1,7,1254,673,463,3,55.555112867806486,True,True,False,1,0,ACQR,fixed05,0.05,0.9028077753779696,45.79929502713704,61.17786520968476
F1,8,1254,673,463,3,17.29347974291728,True,True,False,0,0,split-CP,,,0.8466522678185745,19.662298433398053,79.9671712150041
F1,8,1254,673,463,3,17.29347974291728,True,True,False,0,0,CQR,,,0.8725701943844493,18.778927208040045,31.25380797866765
F1,8,1254,673,463,3,17.29347974291728,True,True,False,0,0,ACI,calibrated,0.02,0.8790496760259179,23.612380914461912,46.06093579111074
F1,8,1254,673,463,3,17.29347974291728,True,True,False,0,0,ACQR,calibrated,0.05,0.9006479481641468,22.210776993443897,32.65540476329227
F1,8,1254,673,463,3,17.29347974291728,True,True,False,0,0,ACI,fixed05,0.05,0.8768898488120951,23.799275382385,46.50903140969502
F1,8,1254,673,463,3,17.29347974291728,True,True,False,0,0,ACQR,fixed05,0.05,0.9006479481641468,22.210776993443897,32.65540476329227
F1,9,1254,673,463,3,71.81171667866256,True,True,False,1,0,split-CP,,,0.9028077753779696,5.476365079365223,6.819503472449507
F1,9,1254,673,463,3,71.81171667866256,True,True,False,1,0,CQR,,,0.8617710583153347,4.081671502227102,6.437210667632844
F1,9,1254,673,463,3,71.81171667866256,True,True,False,1,0,ACI,calibrated,0.01,0.9071274298056156,5.65870999333042,6.894868911006665
F1,9,1254,673,463,3,71.81171667866256,True,True,False,1,0,ACQR,calibrated,0.002,0.8898488120950324,4.5559663465309,6.327736840221294
F1,9,1254,673,463,3,71.81171667866256,True,True,False,1,0,ACI,fixed05,0.05,0.9136069114470844,5.982916057624474,7.161467687779799
F1,9,1254,673,463,3,71.81171667866256,True,True,False,1,0,ACQR,fixed05,0.05,0.896328293736501,4.867717213730498,6.243737691884473
F1,10,1254,673,463,3,3.1994420502225056,False,False,False,0,0,split-CP,,,0.714902807775378,2.805301587301585,8.488810763710338
F1,10,1254,673,463,3,3.1994420502225056,False,False,False,0,0,CQR,,,0.8250539956803455,3.249681809754139,6.682311347882835
