gamma_mode,population,fold,method,n_fac,mean_PICP,sd_PICP,min_PICP,frac_within_02,mean_MPIW,mean_Winkler
calibrated,dynamic_all_folds,F1,ACI,22,0.8961,0.0115,0.8704,0.9091,15.878,23.522
calibrated,dynamic_all_folds,F1,ACQR,22,0.8952,0.0149,0.8445,0.8636,14.387,20.397
calibrated,dynamic_all_folds,F1,CQR,22,0.8947,0.0419,0.784,0.3182,13.459,19.559
calibrated,dynamic_all_folds,F1,split-CP,22,0.8923,0.0381,0.8294,0.3182,16.107,25.878
calibrated,dynamic_all_folds,F2,ACI,22,0.8903,0.0105,0.8708,0.7727,16.806,24.692
calibrated,dynamic_all_folds,F2,ACQR,22,0.8931,0.0085,0.8795,0.9545,14.816,20.624
calibrated,dynamic_all_folds,F2,CQR,22,0.8963,0.0447,0.8041,0.2273,13.578,20.945
calibrated,dynamic_all_folds,F2,split-CP,22,0.8528,0.1597,0.1611,0.2727,14.659,34.825
calibrated,dynamic_all_folds,F3,ACI,22,0.8876,0.0113,0.8627,0.7727,14.651,22.515
calibrated,dynamic_all_folds,F3,ACQR,22,0.8906,0.008,0.868,0.9545,12.811,19.542
calibrated,dynamic_all_folds,F3,CQR,22,0.9033,0.0365,0.7699,0.5909,12.425,19.304
calibrated,dynamic_all_folds,F3,split-CP,22,0.9122,0.0336,0.8471,0.5,18.417,26.028
calibrated,dynamic_all_folds_x08excl,F1,ACI,21,0.8969,0.0111,0.8704,0.9524,15.51,22.448
calibrated,dynamic_all_folds_x08excl,F1,ACQR,21,0.8949,0.0152,0.8445,0.8571,14.015,19.813
calibrated,dynamic_all_folds_x08excl,F1,CQR,21,0.8957,0.0426,0.784,0.3333,13.205,19.002
calibrated,dynamic_all_folds_x08excl,F1,split-CP,21,0.8945,0.0376,0.8294,0.3333,15.938,23.302
calibrated,dynamic_all_folds_x08excl,F2,ACI,21,0.8891,0.0093,0.8708,0.7619,15.114,22.786
calibrated,dynamic_all_folds_x08excl,F2,ACQR,21,0.8923,0.0077,0.8795,0.9524,13.786,19.856
calibrated,dynamic_all_folds_x08excl,F2,CQR,21,0.8914,0.0395,0.8041,0.2381,12.324,20.041
calibrated,dynamic_all_folds_x08excl,F2,split-CP,21,0.8857,0.0533,0.7533,0.2857,14.373,24.245
calibrated,dynamic_all_folds_x08excl,F3,ACI,21,0.887,0.0113,0.8627,0.7619,14.298,21.728
calibrated,dynamic_all_folds_x08excl,F3,ACQR,21,0.8916,0.0065,0.881,1.0,12.778,19.042
calibrated,dynamic_all_folds_x08excl,F3,CQR,21,0.9097,0.0226,0.8601,0.619,12.572,18.982
calibrated,dynamic_all_folds_x08excl,F3,split-CP,21,0.9094,0.0318,0.8471,0.5238,15.546,23.006
calibrated,all_facilities,F1,ACI,23,0.8948,0.0128,0.8661,0.8696,15.392,22.851
calibrated,all_facilities,F1,ACQR,23,0.893,0.0176,0.8445,0.8261,14.01,19.893
calibrated,all_facilities,F1,CQR,23,0.8916,0.0433,0.784,0.3043,13.015,18.999
calibrated,all_facilities,F1,split-CP,23,0.8846,0.0519,0.7149,0.3043,15.529,25.122
calibrated,all_facilities,F2,ACI,23,0.8913,0.0114,0.8708,0.7826,16.24,23.843
calibrated,all_facilities,F2,ACQR,23,0.894,0.0093,0.8795,0.9565,14.321,19.927
calibrated,all_facilities,F2,CQR,23,0.8988,0.0453,0.8041,0.2174,13.164,20.243
calibrated,all_facilities,F2,split-CP,23,0.8569,0.1574,0.1611,0.2609,14.23,33.562
calibrated,all_facilities,F3,ACI,23,0.886,0.0133,0.851,0.7391,14.153,21.754
calibrated,all_facilities,F3,ACQR,23,0.8905,0.0079,0.868,0.9565,12.386,18.877
calibrated,all_facilities,F3,CQR,23,0.9044,0.0361,0.7699,0.5652,12.022,18.635
calibrated,all_facilities,F3,split-CP,23,0.9128,0.033,0.8471,0.4783,17.773,25.099
fixed05,dynamic_all_folds,F1,ACI,22,0.8978,0.0104,0.8769,0.9091,15.958,23.314
fixed05,dynamic_all_folds,F1,ACQR,22,0.895,0.007,0.8769,0.9545,14.838,20.682
fixed05,dynamic_all_folds,F1,CQR,22,0.8947,0.0419,0.784,0.3182,13.459,19.559
fixed05,dynamic_all_folds,F1,split-CP,22,0.8923,0.0381,0.8294,0.3182,16.107,25.878
fixed05,dynamic_all_folds,F2,ACI,22,0.8875,0.0073,0.8708,0.8182,16.122,23.312
fixed05,dynamic_all_folds,F2,ACQR,22,0.889,0.0071,0.8795,0.9091,15.042,20.659
fixed05,dynamic_all_folds,F2,CQR,22,0.8963,0.0447,0.8041,0.2273,13.578,20.945
fixed05,dynamic_all_folds,F2,split-CP,22,0.8528,0.1597,0.1611,0.2727,14.659,34.825
fixed05,dynamic_all_folds,F3,ACI,22,0.8856,0.0064,0.8758,0.7727,14.272,21.657
fixed05,dynamic_all_folds,F3,ACQR,22,0.8867,0.0049,0.8758,0.9091,13.4,19.959
fixed05,dynamic_all_folds,F3,CQR,22,0.9033,0.0365,0.7699,0.5909,12.425,19.304
fixed05,dynamic_all_folds,F3,split-CP,22,0.9122,0.0336,0.8471,0.5,18.417,26.028
fixed05,dynamic_all_folds_x08excl,F1,ACI,21,0.8988,0.0096,0.879,0.9524,15.584,22.21
fixed05,dynamic_all_folds_x08excl,F1,ACQR,21,0.8947,0.0071,0.8769,0.9524,14.487,20.112
fixed05,dynamic_all_folds_x08excl,F1,CQR,21,0.8957,0.0426,0.784,0.3333,13.205,19.002
fixed05,dynamic_all_folds_x08excl,F1,split-CP,21,0.8945,0.0376,0.8294,0.3333,15.938,23.302
fixed05,dynamic_all_folds_x08excl,F2,ACI,21,0.8876,0.0075,0.8708,0.8095,14.588,21.636
fixed05,dynamic_all_folds_x08excl,F2,ACQR,21,0.8879,0.0053,0.8795,0.9048,14.023,19.893
fixed05,dynamic_all_folds_x08excl,F2,CQR,21,0.8914,0.0395,0.8041,0.2381,12.324,20.041
fixed05,dynamic_all_folds_x08excl,F2,split-CP,21,0.8857,0.0533,0.7533,0.2857,14.373,24.245
fixed05,dynamic_all_folds_x08excl,F3,ACI,21,0.885,0.0058,0.8758,0.7619,13.901,20.829
fixed05,dynamic_all_folds_x08excl,F3,ACQR,21,0.8867,0.005,0.8758,0.9048,13.475,19.559
fixed05,dynamic_all_folds_x08excl,F3,CQR,21,0.9097,0.0226,0.8601,0.619,12.572,18.982
fixed05,dynamic_all_folds_x08excl,F3,split-CP,21,0.9094,0.0318,0.8471,0.5238,15.546,23.006
fixed05,all_facilities,F1,ACI,23,0.8964,0.012,0.8661,0.8696,15.469,22.653
fixed05,all_facilities,F1,ACQR,23,0.8938,0.0087,0.8683,0.913,14.431,20.127
fixed05,all_facilities,F1,CQR,23,0.8916,0.0433,0.784,0.3043,13.015,18.999
fixed05,all_facilities,F1,split-CP,23,0.8846,0.0519,0.7149,0.3043,15.529,25.122
fixed05,all_facilities,F2,ACI,23,0.8879,0.0074,0.8708,0.8261,15.583,22.534
fixed05,all_facilities,F2,ACQR,23,0.8893,0.0072,0.8795,0.913,14.539,19.971
fixed05,all_facilities,F2,CQR,23,0.8988,0.0453,0.8041,0.2174,13.164,20.243
fixed05,all_facilities,F2,split-CP,23,0.8569,0.1574,0.1611,0.2609,14.23,33.562
fixed05,all_facilities,F3,ACI,23,0.8853,0.0065,0.8758,0.7391,13.782,20.918
fixed05,all_facilities,F3,ACQR,23,0.8868,0.0048,0.8758,0.913,12.95,19.275
fixed05,all_facilities,F3,CQR,23,0.9044,0.0361,0.7699,0.5652,12.022,18.635
fixed05,all_facilities,F3,split-CP,23,0.9128,0.033,0.8471,0.4783,17.773,25.099
