gamma_mode,population,contrast,n_facilities,n_pooled_rows,mean_abs_gap_a,mean_abs_gap_b,mean_diff,boot_lo95,boot_hi95,boot_p,wilcoxon_p_facility,wilcoxon_p_pooled_ARCHIVED_STYLE,pct_facilities_favouring_a,wilcoxon_p_holm,significant_holm_005,anticonservatism_ratio
calibrated,dynamic_all_folds,ACI vs split-CP,22,66,0.0113,0.044,-0.0326,-0.0595,-0.016,0.0,1.430511474609375e-06,3.4375455165644993e-07,95.5,5.7220458984375e-06,True,4.2
calibrated,dynamic_all_folds,ACI vs CQR,22,66,0.0113,0.0314,-0.0201,-0.0285,-0.0126,0.0,2.384185791015625e-06,2.612906814657034e-07,95.5,7.152557373046875e-06,True,9.1
calibrated,dynamic_all_folds,ACQR vs CQR,22,66,0.0098,0.0314,-0.0216,-0.0297,-0.0143,0.0,2.384185791015625e-06,2.9444840139048186e-09,90.9,7.152557373046875e-06,True,809.7
calibrated,dynamic_all_folds,ACQR vs split-CP,22,66,0.0098,0.044,-0.0342,-0.0599,-0.0177,0.0,2.384185791015625e-06,2.8063877760207206e-09,90.9,7.152557373046875e-06,True,849.6
calibrated,dynamic_all_folds_x08excl,ACI vs split-CP,21,63,0.0113,0.0324,-0.0211,-0.029,-0.0144,0.0,2.86102294921875e-06,1.620769522080327e-06,95.2,1.1444091796875e-05,True,1.8
calibrated,dynamic_all_folds_x08excl,ACI vs CQR,21,63,0.0113,0.0288,-0.0175,-0.0245,-0.0112,0.0,4.76837158203125e-06,8.486207792240867e-07,95.2,1.430511474609375e-05,True,5.6
calibrated,dynamic_all_folds_x08excl,ACQR vs CQR,21,63,0.0096,0.0288,-0.0192,-0.0258,-0.013,0.0,4.76837158203125e-06,1.2505650765591948e-08,90.5,1.430511474609375e-05,True,381.3
calibrated,dynamic_all_folds_x08excl,ACQR vs split-CP,21,63,0.0096,0.0324,-0.0228,-0.0302,-0.0162,0.0,4.76837158203125e-06,1.1608545236279745e-08,90.5,1.430511474609375e-05,True,410.8
fixed05,dynamic_all_folds,ACI vs split-CP,22,66,0.0117,0.044,-0.0323,-0.0587,-0.0163,0.0,4.76837158203125e-07,4.342260504603468e-08,100.0,1.9073486328125e-06,True,11.0
fixed05,dynamic_all_folds,ACI vs CQR,22,66,0.0117,0.0314,-0.0197,-0.0281,-0.0122,0.0,1.5735626220703125e-05,3.856348870974916e-07,90.9,1.5735626220703125e-05,True,40.8
fixed05,dynamic_all_folds,ACQR vs CQR,22,66,0.0107,0.0314,-0.0207,-0.0294,-0.0131,0.0,3.337860107421875e-06,3.3475749478834095e-08,90.9,7.152557373046875e-06,True,99.7
fixed05,dynamic_all_folds,ACQR vs split-CP,22,66,0.0107,0.044,-0.0333,-0.0596,-0.0166,0.0,2.384185791015625e-06,2.1778203753234428e-08,90.9,7.152557373046875e-06,True,109.5
fixed05,dynamic_all_folds_x08excl,ACI vs split-CP,21,63,0.0117,0.0324,-0.0207,-0.028,-0.015,0.0,9.5367431640625e-07,1.96858155271584e-07,100.0,3.814697265625e-06,True,4.8
fixed05,dynamic_all_folds_x08excl,ACI vs CQR,21,63,0.0117,0.0288,-0.0171,-0.0242,-0.0109,0.0,3.147125244140625e-05,1.178268502452201e-06,90.5,3.147125244140625e-05,True,26.7
fixed05,dynamic_all_folds_x08excl,ACQR vs CQR,21,63,0.0108,0.0288,-0.018,-0.0246,-0.0119,0.0,6.67572021484375e-06,1.5086267520799498e-07,90.5,1.430511474609375e-05,True,44.3
fixed05,dynamic_all_folds_x08excl,ACQR vs split-CP,21,63,0.0108,0.0324,-0.0216,-0.029,-0.0151,0.0,4.76837158203125e-06,9.713533719488573e-08,90.5,1.430511474609375e-05,True,49.1
