facility_id,facility_name,split,n_rows,n_distinct,pct_modal_value,pct_in_stuck_run,pct_zero,max_run,flagged
1,Garaža „Obilicev venac“,train,2072,1,100.0,100.0,100.0,3856,True
1,Garaža „Obilicev venac“,calibration,766,1,100.0,100.0,100.0,3856,True
1,Garaža „Obilicev venac“,test,1018,1,100.0,100.0,100.0,3856,True
2,Garaža „Masarikova“,train,2072,799,2.22,9.89,0.0,35,False
2,Garaža „Masarikova“,calibration,766,464,4.44,13.45,0.0,32,False
2,Garaža „Masarikova“,test,1018,490,6.48,14.24,0.0,29,False
3,Garaža „Zeleni venac“,train,2072,686,3.67,6.23,3.67,34,False
3,Garaža „Zeleni venac“,calibration,766,354,8.22,11.75,8.22,24,False
3,Garaža „Zeleni venac“,test,1018,434,4.22,11.69,4.22,33,False
4,Garaža „Pionirski park“,train,2072,897,2.94,6.18,0.97,32,False
4,Garaža „Pionirski park“,calibration,766,396,5.35,9.92,1.83,20,False
4,Garaža „Pionirski park“,test,1018,515,3.73,7.07,0.98,25,False
5,Parkiralište „Sava centar“,train,2072,675,8.2,21.43,0.05,84,False
5,Parkiralište „Sava centar“,calibration,766,365,8.75,19.45,0.0,39,False
5,Parkiralište „Sava centar“,test,1018,375,11.89,28.59,0.0,51,False
6,Parkiralište „Simpo“,train,2072,275,2.8,7.29,0.19,37,False
6,Parkiralište „Simpo“,calibration,766,117,6.01,10.44,0.0,28,False
6,Parkiralište „Simpo“,test,1018,135,5.6,5.7,0.1,29,False
7,Parkiralište „Aerodrom“,train,2072,699,4.73,7.58,0.0,90,False
7,Parkiralište „Aerodrom“,calibration,766,424,3.0,4.18,0.0,20,False
7,Parkiralište „Aerodrom“,test,1018,534,2.26,4.22,0.0,15,False
8,Garaža „Vukov spomenik“,train,2072,215,4.68,14.48,4.68,31,False
8,Garaža „Vukov spomenik“,calibration,766,80,66.32,71.41,66.32,921,False
8,Garaža „Vukov spomenik“,test,1018,2,55.3,100.0,44.7,921,True
9,Parkiralište „Ada Ciganlija“,train,2072,240,27.51,29.73,0.0,111,False
9,Parkiralište „Ada Ciganlija“,calibration,766,156,28.07,22.32,0.0,73,False
9,Parkiralište „Ada Ciganlija“,test,1018,295,34.48,33.4,0.0,98,False
10,Garaža „Dr A. Kostica“,train,2072,65,16.65,50.05,0.0,74,False
10,Garaža „Dr A. Kostica“,calibration,766,80,12.27,43.34,0.0,74,False
10,Garaža „Dr A. Kostica“,test,1018,64,30.35,49.51,0.0,87,False
