source,method,n_all,n_excl,mean_PICP_all,mean_PICP_excl,sd_PICP_all,sd_PICP_excl,min_PICP_all,min_PICP_excl,sd_reduction_pct
core_t+15,ACI,96,88,0.8714,0.8645,0.0642,0.0594,0.7645,0.7645,7.5
core_t+15,ACQR,48,44,0.9208,0.9188,0.0302,0.0254,0.8749,0.8788,16.0
core_t+15,CQR,48,44,0.9286,0.9246,0.0395,0.0365,0.8266,0.8266,7.6
core_t+15,split-CP,96,88,0.8858,0.8812,0.0709,0.068,0.6936,0.6936,4.1
e3_v2,ACI-crosscheck,24,22,0.897,0.8909,0.0239,0.0076,0.869,0.869,68.2
e3_v2,AgACI-style,24,22,0.9165,0.9113,0.0199,0.0066,0.8985,0.8985,66.7
e3_v2,EnbPI,24,22,0.8971,0.903,0.0609,0.0326,0.664,0.801,46.5
e3_v2,NGBoost,23,22,0.7632,0.7758,0.08,0.0553,0.4867,0.6621,30.8
e3_v2,NGBoost-conformal,23,22,0.8945,0.8958,0.0388,0.0391,0.8079,0.8079,-0.9
rolling_F1,ACI,23,22,0.8948,0.8955,0.0128,0.0126,0.8661,0.8661,1.3
rolling_F1,ACQR,23,22,0.893,0.8927,0.0176,0.0179,0.8445,0.8445,-1.8
rolling_F1,CQR,23,22,0.8916,0.8925,0.0433,0.0441,0.784,0.784,-1.8
rolling_F1,split-CP,23,22,0.8846,0.8863,0.0519,0.0524,0.7149,0.7149,-1.0
rolling_F2,ACI,23,22,0.8913,0.8903,0.0114,0.0105,0.8708,0.8708,7.7
rolling_F2,ACQR,23,22,0.894,0.8932,0.0093,0.0087,0.8795,0.8795,6.4
rolling_F2,CQR,23,22,0.8988,0.8942,0.0453,0.0408,0.8041,0.8041,10.1
rolling_F2,split-CP,23,22,0.8569,0.8886,0.1574,0.0537,0.1611,0.7533,65.9
rolling_F3,ACI,23,22,0.886,0.8854,0.0133,0.0133,0.851,0.851,0.1
rolling_F3,ACQR,23,22,0.8905,0.8915,0.0079,0.0064,0.868,0.881,18.9
rolling_F3,CQR,23,22,0.9044,0.9105,0.0361,0.0224,0.7699,0.8601,38.0
rolling_F3,split-CP,23,22,0.9128,0.9101,0.033,0.0312,0.8471,0.8471,5.3
