method,commit_target,commit_rate,MAE_cars,MAE_pct,committed_PICP,committed_MPIW,n_facilities,abst_lift_night,abst_lift_am_rush,abst_lift_midday,abst_lift_pm_rush,abst_lift_evening
width-ACQR,0.1,0.196,0.99,1.136,0.9045,3.8,22,0.743,1.049,1.142,1.147,1.029
width-ACQR,0.2,0.314,1.256,1.375,0.9076,4.71,22,0.522,1.069,1.287,1.283,1.022
width-ACQR,0.3,0.442,1.553,1.673,0.9057,5.82,22,0.391,1.032,1.409,1.419,0.946
width-ACQR,0.4,0.545,1.779,1.895,0.9021,6.69,22,0.312,0.953,1.517,1.566,0.82
width-ACQR,0.5,0.615,1.985,2.117,0.8976,7.35,22,0.284,0.887,1.596,1.608,0.768
width-ACQR,0.6,0.677,2.179,2.323,0.8939,8.0,22,0.281,0.83,1.637,1.671,0.688
width-ACQR,0.7,0.742,2.381,2.493,0.8923,8.76,22,0.249,0.79,1.689,1.742,0.617
width-ACQR,0.8,0.819,2.616,2.695,0.8922,9.74,22,0.257,0.739,1.696,1.807,0.571
width-ACQR,0.9,0.896,2.923,2.919,0.8902,10.86,22,0.253,0.757,1.646,1.89,0.536
width-ACQR,1.0,0.982,3.32,3.176,0.8925,12.57,22,0.005,0.24,2.085,2.493,0.169
random,0.1,0.196,3.405,3.233,0.8948,13.22,22,,,,,
random,0.2,0.314,3.404,3.203,0.8923,13.13,22,,,,,
random,0.3,0.442,3.406,3.221,0.8934,13.13,22,,,,,
random,0.4,0.545,3.4,3.214,0.8937,13.15,22,,,,,
random,0.5,0.615,3.399,3.216,0.8928,13.13,22,,,,,
random,0.6,0.677,3.419,3.217,0.8929,13.15,22,,,,,
random,0.7,0.742,3.399,3.212,0.8935,13.15,22,,,,,
random,0.8,0.819,3.408,3.218,0.8929,13.16,22,,,,,
random,0.9,0.896,3.411,3.224,0.8928,13.15,22,,,,,
random,1.0,0.982,3.408,3.219,0.893,13.15,22,,,,,
commit-all,1.0,1.0,3.405,3.217,0.8931,13.15,22,,,,,
