city,horizon,sigma_threshold,method,PICP,std,MPIW,Winkler,ci_contains,safe,n,facilities_added_vs_primary,excluded_low_information
belgrade,y_t+15min,0.0,split-CP,0.9043887147335422,0.04349184193829499,14.413443910945505,23.077736003172646,0.5909090909090909,0.45454545454545453,22,10,1;8
belgrade,y_t+15min,0.0,CQR,0.9023287057769817,0.031249208504087737,11.793700302938708,18.90763198906742,0.7272727272727273,0.4090909090909091,22,10,1;8
belgrade,y_t+15min,0.0,ACI,0.8908643081056874,0.007757236970581398,14.038099508541585,21.626626611499496,0.9545454545454546,0.0,22,10,1;8
belgrade,y_t+15min,0.0,ACQR,0.8940886699507389,0.005184407973907892,12.445152659543202,18.627619800149485,0.9545454545454546,0.0,22,10,1;8
belgrade,y_t+15min,2.0,split-CP,0.9043887147335422,0.04349184193829499,14.413443910945505,23.077736003172646,0.5909090909090909,0.45454545454545453,22,10,1;8
belgrade,y_t+15min,2.0,CQR,0.9023287057769817,0.031249208504087737,11.793700302938708,18.90763198906742,0.7272727272727273,0.4090909090909091,22,10,1;8
belgrade,y_t+15min,2.0,ACI,0.8908643081056874,0.007757236970581398,14.038099508541585,21.626626611499496,0.9545454545454546,0.0,22,10,1;8
belgrade,y_t+15min,2.0,ACQR,0.8940886699507389,0.005184407973907892,12.445152659543202,18.627619800149485,0.9545454545454546,0.0,22,10,1;8
belgrade,y_t+15min,5.0,split-CP,0.9008210180623974,0.0411350205498103,14.869490181837088,23.925942620107833,0.6190476190476191,0.42857142857142855,21,,1;8
belgrade,y_t+15min,5.0,CQR,0.8994604738447103,0.02890156841243904,12.195498183785968,19.62627404422272,0.7619047619047619,0.38095238095238093,21,,1;8
belgrade,y_t+15min,5.0,ACI,0.8912502932207366,0.007729289717032862,14.561510273738131,22.446972928436885,0.9523809523809523,0.0,21,,1;8
belgrade,y_t+15min,5.0,ACQR,0.8940182969739622,0.00530165926116904,12.910131949185327,19.340870296876624,0.9523809523809523,0.0,21,,1;8
belgrade,y_t+15min,10.0,split-CP,0.9008210180623974,0.0411350205498103,14.869490181837088,23.925942620107833,0.6190476190476191,0.42857142857142855,21,,1;8
belgrade,y_t+15min,10.0,CQR,0.8994604738447103,0.02890156841243904,12.195498183785968,19.62627404422272,0.7619047619047619,0.38095238095238093,21,,1;8
belgrade,y_t+15min,10.0,ACI,0.8912502932207366,0.007729289717032862,14.561510273738131,22.446972928436885,0.9523809523809523,0.0,21,,1;8
belgrade,y_t+15min,10.0,ACQR,0.8940182969739622,0.00530165926116904,12.910131949185327,19.340870296876624,0.9523809523809523,0.0,21,,1;8
birmingham,y_t+60min,0.0,split-CP,0.9065820611511572,0.051329996669428835,134.4303212610802,175.36078089923163,0.7142857142857143,0.25,28,,
birmingham,y_t+60min,0.0,CQR,0.9021100120074138,0.04169890673411505,135.28222430344965,172.66008590461453,0.75,0.25,28,,
birmingham,y_t+60min,0.0,ACI,0.8889896755270572,0.015472401265376575,131.55425297545514,175.30883185937427,1.0,0.03571428571428571,28,,
birmingham,y_t+60min,0.0,ACQR,0.8927995800852744,0.02344964048871338,139.22077292937573,176.2771307337063,0.8928571428571429,0.10714285714285714,28,,
birmingham,y_t+60min,2.0,split-CP,0.9065820611511572,0.051329996669428835,134.4303212610802,175.36078089923163,0.7142857142857143,0.25,28,,
birmingham,y_t+60min,2.0,CQR,0.9021100120074138,0.04169890673411505,135.28222430344965,172.66008590461453,0.75,0.25,28,,
birmingham,y_t+60min,2.0,ACI,0.8889896755270572,0.015472401265376575,131.55425297545514,175.30883185937427,1.0,0.03571428571428571,28,,
birmingham,y_t+60min,2.0,ACQR,0.8927995800852744,0.02344964048871338,139.22077292937573,176.2771307337063,0.8928571428571429,0.10714285714285714,28,,
birmingham,y_t+60min,5.0,split-CP,0.9065820611511572,0.051329996669428835,134.4303212610802,175.36078089923163,0.7142857142857143,0.25,28,,
birmingham,y_t+60min,5.0,CQR,0.9021100120074138,0.04169890673411505,135.28222430344965,172.66008590461453,0.75,0.25,28,,
birmingham,y_t+60min,5.0,ACI,0.8889896755270572,0.015472401265376575,131.55425297545514,175.30883185937427,1.0,0.03571428571428571,28,,
birmingham,y_t+60min,5.0,ACQR,0.8927995800852744,0.02344964048871338,139.22077292937573,176.2771307337063,0.8928571428571429,0.10714285714285714,28,,
birmingham,y_t+60min,10.0,split-CP,0.9065820611511572,0.051329996669428835,134.4303212610802,175.36078089923163,0.7142857142857143,0.25,28,,
birmingham,y_t+60min,10.0,CQR,0.9021100120074138,0.04169890673411505,135.28222430344965,172.66008590461453,0.75,0.25,28,,
birmingham,y_t+60min,10.0,ACI,0.8889896755270572,0.015472401265376575,131.55425297545514,175.30883185937427,1.0,0.03571428571428571,28,,
birmingham,y_t+60min,10.0,ACQR,0.8927995800852744,0.02344964048871338,139.22077292937573,176.2771307337063,0.8928571428571429,0.10714285714285714,28,,
