day,weekday,rows,used_15,pct_of_full_day,distinct_hours
2017-03-04,Sat,2304,2304,33.3,8
2017-03-05,Sun,6912,6912,100.0,24
2017-03-06,Mon,4176,4176,60.4,16
2017-03-07,Tue,3432,3432,49.7,13
2017-03-08,Wed,6912,6912,100.0,24
2017-03-09,Thu,6360,6360,92.0,23
2017-03-10,Fri,6912,6912,100.0,24
2017-03-11,Sat,6912,6912,100.0,24
2017-03-12,Sun,2328,2328,33.7,9
2017-03-13,Mon,3480,3408,50.3,13
2017-03-14,Tue,6912,6840,100.0,24
2017-03-15,Wed,864,864,12.5,3
2017-03-16,Thu,3696,3696,53.5,13
2017-03-17,Fri,6912,6840,100.0,24
2017-03-18,Sat,6072,6000,87.8,22
2017-03-19,Sun,6000,6000,86.8,22
2017-03-20,Mon,6912,6912,100.0,24
2017-03-21,Tue,5448,5448,78.8,19
