arm,facility_id,cap_train,n_test,onset_index,n_pre_onset,n_post_onset,pre_onset_frac_withdrawn_interval,pre_onset_frac_withdrawn_point,withdrawn_at_last_pre_onset_slot_interval,withdrawn_at_last_pre_onset_slot_point,step_interval,step_point,lead_time_steps,minutes_interval,minutes_point,post_onset_frac_withdrawn_interval,post_onset_frac_withdrawn_point,persists_interval,persists_point,mean_U_post,mean_yhat_post,injected_value,med_train,gamma,overshoot_frac_of_cap
none,2,421.0,1015,428,428,587,0.0,0.0,0,0,90,-1,-1,450,-1,0.0068,0.0,0,-1,298.1051,287.9873,,367.6667,0.005,
implausible,2,421.0,1015,428,428,587,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,708.9532,702.1606,705.9749,367.6667,0.005,1.6769
plausible,2,421.0,1015,428,428,587,0.0,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,378.8593,369.4138,367.6667,367.6667,0.005,0.8733
none,3,225.0,1015,428,428,587,0.1192,0.035,0,0,63,67,4,315,335,0.2811,0.2453,0,0,133.7014,125.1089,,115.0,0.02,
implausible,3,225.0,1015,428,428,587,0.1192,0.035,0,0,0,0,0,0,0,1.0,1.0,1,1,380.1076,375.7171,377.3025,115.0,0.02,1.6769
plausible,3,225.0,1015,428,428,587,0.1192,0.035,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,122.0563,117.9126,115.0,115.0,0.02,0.5111
none,4,381.0,1015,428,428,587,0.0701,0.0023,0,0,87,391,304,435,1955,0.1925,0.0869,0,0,220.9687,212.6498,,218.0,0.002,
implausible,4,381.0,1015,428,428,587,0.0701,0.0023,0,0,0,0,0,0,0,1.0,1.0,1,1,644.3143,637.4565,638.8989,218.0,0.002,1.6769
plausible,4,381.0,1015,428,428,587,0.0701,0.0023,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,228.4628,221.6317,218.0,218.0,0.002,0.5722
none,5,339.0,1015,428,428,587,0.0,0.0,0,0,63,-1,-1,315,-1,0.0187,0.0,0,-1,230.722,220.5549,,293.0,0.02,
implausible,5,339.0,1015,428,428,587,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,569.6314,565.74,568.4691,293.0,0.02,1.6769
plausible,5,339.0,1015,428,428,587,0.0,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,304.6325,296.2996,293.0,293.0,0.02,0.8643
none,6,129.0,1015,428,428,587,0.0,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,55.7134,51.457,,47.0,0.02,
implausible,6,129.0,1015,428,428,587,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,217.9743,177.3694,216.3201,47.0,0.02,1.6769
plausible,6,129.0,1015,428,428,587,0.0,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,47.8553,46.9622,47.0,47.0,0.02,0.3643
none,7,462.3333,1015,428,428,587,0.1168,0.0,0,0,22,-1,-1,110,-1,0.0579,0.0,0,-1,393.3747,364.1748,,394.0,0.02,
