arm,facility_id,cap_train,n_test,onset_index,n_pre_onset,n_post_onset,pre_onset_frac_withdrawn_interval,pre_onset_frac_withdrawn_point,withdrawn_at_last_pre_onset_slot_interval,withdrawn_at_last_pre_onset_slot_point,step_interval,step_point,lead_time_steps,minutes_interval,minutes_point,post_onset_frac_withdrawn_interval,post_onset_frac_withdrawn_point,persists_interval,persists_point,mean_U_post,mean_yhat_post,level_frac_of_cap,injected_value
level_0.8000,2,421.0,1015,428,428,587,0.0,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,349.8927,341.1025,0.8,336.8
level_0.9000,2,421.0,1015,428,428,587,0.0,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,388.3856,381.9281,0.9,378.9
level_0.9500,2,421.0,1015,428,428,587,0.0,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,406.3983,398.4518,0.95,399.95
level_0.9800,2,421.0,1015,428,428,587,0.0,0.0,0,0,52,-1,-1,260,-1,0.0221,0.0,0,-1,415.088,408.8651,0.98,412.58
level_1.0000,2,421.0,1015,428,428,587,0.0,0.0,0,0,0,0,0,0,0,1.0,0.3492,1,0,423.9844,417.2062,1.0,421.0
level_1.0500,2,421.0,1015,428,428,587,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,445.0267,438.2432,1.05,442.05
level_1.2000,2,421.0,1015,428,428,587,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,508.1794,501.3853,1.2,505.2
level_1.6769,2,421.0,1015,428,428,587,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,708.9532,702.1606,1.6769,705.9749
level_0.8000,3,225.0,1015,428,428,587,0.1192,0.035,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,184.4462,182.1679,0.8,180.0
level_0.9000,3,225.0,1015,428,428,587,0.1192,0.035,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,206.4078,201.9117,0.9,202.5
level_0.9500,3,225.0,1015,428,428,587,0.1192,0.035,0,0,0,-1,-1,0,-1,0.0392,0.0,0,-1,216.8695,212.7367,0.95,213.75
level_0.9800,3,225.0,1015,428,428,587,0.1192,0.035,0,0,0,248,248,0,1240,0.4106,0.0681,0,0,223.3958,219.302,0.98,220.5
