arm,fold,partition,cramers_v,method,n_facilities,n_cells,mean_PICP,sd_PICP,min_PICP,cells_below_080,noise_floor_sd,excess_sd,structure_removed,MPIW
A_folds,F1,day_of_week,0.476,split-CP,22,66,0.9036,0.1301,0.0,3,0.0471,0.1213,0.0,16.22
A_folds,F1,day_of_week,0.476,Mondrian-split-CP,22,66,0.8765,0.1652,0.0,8,0.0802,0.1444,-0.416,14.88
A_folds,F1,day_of_week,0.476,ACI,22,66,0.9123,0.0675,0.5556,1,0.0315,0.0597,0.758,16.31
A_folds,F1,day_of_week,0.476,ToD-ACI,22,66,0.8968,0.0691,0.6667,5,0.0361,0.0589,0.764,15.13
A_folds,F1,occupancy_tercile,0.702,split-CP,22,64,0.9009,0.0965,0.6916,13,0.0471,0.0842,0.0,16.18
A_folds,F1,occupancy_tercile,0.702,Mondrian-split-CP,22,64,0.8933,0.0825,0.4904,5,0.0802,0.0193,0.948,16.12
A_folds,F1,occupancy_tercile,0.702,ACI,22,64,0.9009,0.0574,0.7659,5,0.0315,0.0479,0.676,15.59
A_folds,F1,occupancy_tercile,0.702,ToD-ACI,22,64,0.8993,0.0408,0.814,0,0.0361,0.0191,0.949,15.61
A_folds,F1,time_of_day,1.0,split-CP,22,110,0.8927,0.1078,0.5625,21,0.0471,0.097,0.0,16.18
A_folds,F1,time_of_day,1.0,Mondrian-split-CP,22,110,0.8802,0.1291,0.1398,21,0.0802,0.1012,-0.087,15.95
A_folds,F1,time_of_day,1.0,ACI,22,110,0.8878,0.0823,0.6458,15,0.0315,0.076,0.386,15.64
A_folds,F1,time_of_day,1.0,ToD-ACI,22,110,0.894,0.043,0.7708,4,0.0361,0.0233,0.942,15.69
A_folds,F2,day_of_week,0.292,split-CP,21,63,0.8844,0.0665,0.66,8,0.0604,0.0279,0.0,14.34
A_folds,F2,day_of_week,0.292,Mondrian-split-CP,21,63,0.8812,0.069,0.668,9,0.061,0.0322,-0.334,13.65
A_folds,F2,day_of_week,0.292,ACI,21,63,0.8895,0.0223,0.8247,0,0.0249,0.0,1.0,15.3
A_folds,F2,day_of_week,0.292,ToD-ACI,21,63,0.894,0.0288,0.8117,0,0.027,0.0099,0.873,15.4
A_folds,F2,occupancy_tercile,0.641,split-CP,21,63,0.9012,0.1016,0.5827,11,0.0604,0.0817,0.0,14.46
A_folds,F2,occupancy_tercile,0.641,Mondrian-split-CP,21,63,0.8865,0.0801,0.6295,10,0.061,0.0519,0.597,12.93
A_folds,F2,occupancy_tercile,0.641,ACI,21,63,0.8938,0.0548,0.79,3,0.0249,0.0488,0.643,14.61
A_folds,F2,occupancy_tercile,0.641,ToD-ACI,21,63,0.8965,0.0402,0.7773,1,0.027,0.0297,0.867,14.55
A_folds,F2,time_of_day,1.0,split-CP,21,105,0.8929,0.1074,0.5248,17,0.0604,0.0888,0.0,14.46
A_folds,F2,time_of_day,1.0,Mondrian-split-CP,21,105,0.882,0.0936,0.5792,18,0.061,0.071,0.36,13.16
A_folds,F2,time_of_day,1.0,ACI,21,105,0.8891,0.0819,0.6146,17,0.0249,0.0781,0.227,14.85
A_folds,F2,time_of_day,1.0,ToD-ACI,21,105,0.8939,0.0326,0.7917,1,0.027,0.0182,0.958,14.7
A_folds,F3,day_of_week,0.203,split-CP,22,66,0.9101,0.0609,0.7181,2,0.0396,0.0463,0.0,15.0
A_folds,F3,day_of_week,0.203,Mondrian-split-CP,22,66,0.9026,0.0575,0.7401,3,0.0422,0.039,0.289,13.34
A_folds,F3,day_of_week,0.203,ACI,22,66,0.8857,0.0322,0.815,0,0.0293,0.0133,0.917,13.79
A_folds,F3,day_of_week,0.203,ToD-ACI,22,66,0.8924,0.0322,0.8326,0,0.0285,0.0149,0.897,13.88
A_folds,F3,occupancy_tercile,0.597,split-CP,22,65,0.9082,0.0933,0.6842,13,0.0396,0.0845,0.0,15.12
A_folds,F3,occupancy_tercile,0.597,Mondrian-split-CP,22,65,0.8966,0.0674,0.7088,7,0.0422,0.0525,0.613,13.49
A_folds,F3,occupancy_tercile,0.597,ACI,22,65,0.8818,0.062,0.7419,5,0.0293,0.0547,0.58,13.98
A_folds,F3,occupancy_tercile,0.597,ToD-ACI,22,65,0.8875,0.045,0.7654,1,0.0285,0.0348,0.83,14.06
A_folds,F3,time_of_day,1.0,split-CP,22,110,0.909,0.084,0.6336,11,0.0396,0.0741,0.0,15.03
A_folds,F3,time_of_day,1.0,Mondrian-split-CP,22,110,0.9051,0.0648,0.7083,8,0.0422,0.0492,0.558,13.88
A_folds,F3,time_of_day,1.0,ACI,22,110,0.8847,0.0818,0.6461,18,0.0293,0.0764,-0.063,14.06
