city,horizon,method,family,exploratory,n_fac,mean_PICP,sd_PICP,se,t_lo90,t_hi90,t_lower95,boot_lo90,boot_hi90,boot_lower95,EXACT_t,EXACT_boot,SAFE_t,SAFE_boot,tost_p_raw,mean_Winkler,tost_p_holm,EXACT_holm
belgrade,y_t+15min,split-CP,P-primary,False,21,0.9008210180623974,0.0411350205498103,0.008976397399193797,0.8853392617123013,0.9163027744124936,0.8853392617123013,0.885761201032137,0.9144288060051609,0.885761201032137,True,True,True,True,0.022586921120352283,23.925942620107833,0.022586921120352283,True
belgrade,y_t+15min,CQR,P-primary,False,21,0.8994604738447103,0.02890156841243904,0.006306839283473647,0.8885829530773338,0.9103379946120868,0.8885829530773338,0.8890452732817264,0.9089842833685198,0.8890452732817264,True,True,True,True,0.002915980510157256,19.62627404422272,0.005831961020314512,True
belgrade,y_t+15min,ACI,P-primary,False,21,0.8912502932207366,0.007729289717032862,0.0016866692950736617,0.8883412639177487,0.8941593225237244,0.8883412639177487,0.8883415435139573,0.8937837203847055,0.8883415435139573,True,True,True,True,8.559036428347807e-07,22.446972928436885,2.5677109285043423e-06,True
belgrade,y_t+15min,ACQR,P-primary,False,21,0.8940182969739622,0.00530165926116904,0.0011569168987224181,0.8920229412931923,0.8960136526547321,0.8920229412931923,0.8920478536242084,0.8957541637344593,0.8920478536242084,True,True,True,True,5.7260851014709596e-11,19.340870296876624,2.2904340405883838e-10,True
belgrade,y_t+15min,EnbPI,exploratory,True,21,0.9024161388693408,0.03402579153523803,0.0074250364424293305,0.8896100430627313,0.9152222346759503,0.8896100430627313,0.890124325592306,0.9137696457893503,0.890124325592306,True,True,True,True,,23.747052252240046,,
belgrade,y_t+15min,AgACI-style,exploratory,True,21,0.9112831339432323,0.0069419770037741305,0.0015148635758303664,0.9086704210984615,0.9138958467880032,0.9086704210984615,0.9088904527328173,0.913722730471499,0.9088904527328173,True,True,True,True,,20.982760392802426,,
belgrade,y_t+15min,NGBoost,exploratory,True,21,0.7736335913675815,0.057295451735081215,0.012502892597747553,0.752069624414967,0.7951975583201959,0.752069624414967,0.7539760731878958,0.7933380248651185,0.7539760731878958,False,False,False,False,,22.040133358696057,,
belgrade,y_t+15min,NGBoost-conformal,exploratory,True,21,0.8917194463992493,0.03815862215473676,0.008326894020919054,0.8773579003745021,0.9060809924239964,0.8773579003745021,0.8778325123152709,0.9044827586206896,0.8778325123152709,False,False,False,False,,19.887852510038233,,
birmingham,y_t+60min,split-CP,P-primary,False,28,0.9065820611511572,0.051329996669428835,0.009700457570363029,0.8900593838533402,0.9231047384489743,0.8900593838533402,0.8906645341589811,0.9219330089734447,0.8906645341589811,False,False,True,True,0.08896361447832993,175.36078089923163,0.08896361447832993,False
birmingham,y_t+60min,CQR,P-primary,False,28,0.9021100120074138,0.04169890673411505,0.007880352654410354,0.8886874983829409,0.9155325256318867,0.8886874983829409,0.8890233726839479,0.9142960438534635,0.8890233726839479,True,True,True,True,0.015695142165300928,172.66008590461453,0.031390284330601856,True
birmingham,y_t+60min,ACI,P-primary,False,28,0.8889896755270572,0.015472401265376575,0.0029240089952276786,0.8840092447902983,0.8939701062638161,0.8840092447902983,0.8844415959329799,0.8938244500039527,0.8844415959329799,True,True,True,True,0.002391786248220986,175.30883185937427,0.009567144992883945,True
birmingham,y_t+60min,ACQR,P-primary,False,28,0.8927995800852744,0.02344964048871338,0.004431565504786195,0.8852513457645114,0.9003478144060374,0.8852513457645114,0.8859788088251894,0.9001866714861423,0.8859788088251894,True,True,True,True,0.0037710163178109415,176.2771307337063,0.011313048953432825,True
birmingham,y_t+60min,EnbPI,exploratory,True,28,0.8413086610857634,0.08022137249173662,0.015160414388958075,0.8154861024246917,0.8671312197468352,0.8154861024246917,0.8169142319314695,0.8659342197928189,0.8169142319314695,False,False,False,False,,178.55332321050693,,
birmingham,y_t+60min,AgACI-style,exploratory,True,28,0.8977192627380798,0.014392458664673416,0.002719919027250187,0.8930864560856647,0.9023520693904948,0.8930864560856647,0.8934580775761933,0.9021913628457656,0.8934580775761933,True,True,True,True,,171.02610518851475,,
birmingham,y_t+60min,NGBoost,exploratory,True,28,0.3721717320126871,0.14738810542689626,0.027853733797752633,0.32472878906475516,0.41961467496061905,0.32472878906475516,0.32771275985780285,0.4180946068906771,0.32771275985780285,False,False,False,False,,408.7020117798249,,
birmingham,y_t+60min,NGBoost-conformal,exploratory,True,28,0.9013557021758996,0.04883702233913009,0.00922932970587458,0.8856354915261234,0.9170759128256757,0.8856354915261234,0.8867762017382276,0.9164768240451061,0.8867762017382276,True,True,True,True,,175.72734962986482,,
