facility_id,gamma,cap_train,cap_fullrecord,n_train,n_cal,n_test
2,0.005,421.0,421.0,2069,760,1015
3,0.02,225.0,234.0,2069,760,1015
4,0.002,381.0,385.0,2069,760,1015
5,0.02,339.0,339.0,2069,760,1015
6,0.02,129.0,129.0,2069,760,1015
7,0.02,462.3333333333333,462.3333333333333,2069,760,1015
8,0.1,65.0,109.0,2069,760,1015
9,0.02,1549.0,1549.0,2069,760,1015
11,0.02,62.0,62.0,2069,760,1015
12,0.002,289.0,292.0,2069,760,1015
13,0.05,564.0,564.0,2069,760,1015
14,0.02,377.0,378.0,2069,760,1015
15,0.01,110.0,110.0,2069,760,1015
16,0.02,53.0,53.0,2069,760,1015
17,0.02,64.0,64.0,2069,760,1015
18,0.01,84.0,84.0,2069,760,1015
19,0.05,86.0,86.0,2069,760,1015
20,0.02,66.0,66.5,2069,760,1015
21,0.005,69.33333333333333,69.33333333333333,2069,760,1015
22,0.01,245.0,245.0,2069,760,1015
23,0.02,170.0,170.0,2069,760,1015
