req,policy,assigned,dist,overflow
0,POINT,7,1.531738801928011,0
1,POINT,20,0.2467991107856251,0
2,POINT,9,1.050250890657919,0
3,POINT,8,0.8243840463228055,1
4,POINT,22,2.440309545641084,0
5,POINT,8,0.17170902655351952,0
6,POINT,19,0.4514851694124212,0
7,POINT,20,0.6498068540097697,0
8,POINT,8,0.411221559979851,1
9,POINT,23,0.49630983791699756,0
10,POINT,8,0.11205557652588671,1
11,POINT,20,0.3991763810058924,0
12,POINT,23,0.36793809445705483,0
13,POINT,9,0.3094732276974952,0
14,POINT,23,0.1569892798584992,0
15,POINT,8,0.16553493480516973,1
16,POINT,8,0.6764506859225599,1
17,POINT,12,1.2437780266087948,0
18,POINT,11,0.26470633560618373,0
19,POINT,4,0.2607958603037686,0
20,POINT,18,2.586704324370692,0
21,POINT,23,0.535794865592161,0
22,POINT,8,0.1253659142364055,1
23,POINT,23,0.16102336533483153,0
24,POINT,22,4.232633846400148,0
25,POINT,18,1.2872994829303828,0
26,POINT,7,4.328471768127162,0
27,POINT,23,0.43520953926616496,0
28,POINT,9,0.19684659755708678,0
29,POINT,16,0.33068107269526353,0
30,POINT,9,2.3743724603355245,0
31,POINT,23,0.8235731237533743,0
32,POINT,7,1.8762801743671702,0
33,POINT,7,6.329802983710483,0
34,POINT,9,0.60991380501659,0
35,POINT,19,0.14685353070892676,0
36,POINT,23,0.5217225206879228,0
37,POINT,7,5.2977402572106405,0
38,POINT,8,0.3596014778137135,1
39,POINT,22,3.683959146629793,0
40,POINT,9,0.258200594036706,0
41,POINT,22,2.871911400064379,0
42,POINT,7,2.4690609059872037,0
43,POINT,23,0.3637699953488568,0
44,POINT,17,2.6323722221355137,0
45,POINT,7,2.3531054329992975,0
46,POINT,23,4.821989356144021,0
47,POINT,9,0.30568203819510087,0
48,POINT,9,0.46078711481713186,0
49,POINT,8,0.28907400322228133,1
50,POINT,19,0.6156483168735117,0
51,POINT,19,0.3454966337505039,0
52,POINT,20,0.3655140156904525,0
53,POINT,19,0.42406416698595706,0
54,POINT,8,0.6369758932464105,1
55,POINT,16,0.5505699230885245,0
56,POINT,7,0.5521823385704269,0
57,POINT,15,0.948272407361753,0
58,POINT,9,0.40746164216139497,0
59,POINT,23,0.36749757748241113,0
60,POINT,22,5.1649112358264135,0
61,POINT,8,0.2655817781955118,1
62,POINT,16,0.3486230177200499,0
63,POINT,9,0.5609501874509514,0
64,POINT,18,1.397306718460904,0
65,POINT,9,0.48147919151433444,0
66,POINT,12,5.463230163494491,0
67,POINT,12,3.775045377239173,0
68,POINT,8,0.5571314189766517,1
69,POINT,9,2.2165620649015962,0
70,POINT,7,3.169859986812152,0
71,POINT,8,0.3084720182052028,1
72,POINT,9,0.5033877822067142,0
73,POINT,16,0.26804729081673123,0
74,POINT,9,0.37207826660423515,0
75,POINT,8,0.666205992758481,1
76,POINT,7,2.574835549715256,0
77,POINT,23,0.3953998515364492,0
78,POINT,23,0.7065835234735757,0
79,POINT,13,1.4592361407933874,0
80,POINT,9,0.41375102735215835,0
81,POINT,22,2.2072224290498546,0
82,POINT,5,0.6560022385635611,0
83,POINT,4,0.6911065439446326,0
84,POINT,9,0.17131588882105658,0
85,POINT,22,1.9742654019984487,0
86,POINT,7,6.795262658858858,0
87,POINT,6,1.157568434837438,0
88,POINT,8,0.7829939734439817,1
89,POINT,22,1.7565275940361862,0
90,POINT,19,0.25995958812719516,0
91,POINT,8,0.32390387625716305,1
92,POINT,23,0.3768134356835135,0
93,POINT,22,2.428180034891272,0
94,POINT,8,0.6861305655666008,0
95,POINT,23,0.23987783693767645,0
96,POINT,9,5.309123408493334,0
97,POINT,23,0.11951081922674311,0
98,POINT,23,0.31068875999609125,0
99,POINT,20,0.32079439031743784,0
100,POINT,9,0.1681105016042107,0
101,POINT,17,1.0486838716721,0
102,POINT,7,3.4425496186373525,0
103,POINT,8,0.43281111005499406,1
104,POINT,18,2.1257790067964493,0
105,POINT,22,2.862687180987281,0
106,POINT,8,0.6823156608984162,1
107,POINT,7,4.660971187392732,0
108,POINT,8,0.25880849626885905,1
109,POINT,15,0.4480911365559546,0
110,POINT,12,1.1336310260913376,0
111,POINT,23,1.7177177372966317,0
112,POINT,8,0.2334543254300956,1
113,POINT,8,0.5917481866201642,1
114,POINT,8,0.18532509257630203,1
115,POINT,9,0.12407921655604377,0
116,POINT,8,0.4917422399696278,1
117,POINT,18,2.734881489104652,0
118,POINT,20,0.347444880529452,0
119,POINT,19,1.209135171758537,0
120,POINT,14,1.2065122155667634,0
121,POINT,9,0.23198602564563067,0
122,POINT,23,0.5219688335871476,0
123,POINT,9,0.5018366799293623,0
124,POINT,9,0.8168364869666025,0
125,POINT,7,3.336914441265877,0
126,POINT,9,0.06678393562057028,0
127,POINT,22,0.6487603872041289,0
128,POINT,8,0.15677192325425837,1
129,POINT,7,1.9240242893568993,0
130,POINT,22,1.1203687779354023,0
131,POINT,7,3.743803832033902,0
132,POINT,7,5.956688170530995,0
133,POINT,18,1.3706651931109592,0
134,POINT,19,0.12512661384811516,0
135,POINT,8,0.43114288556947905,1
136,POINT,9,0.2115010085246615,0
137,POINT,20,0.4022218811554118,0
138,POINT,12,2.3758191695252986,0
139,POINT,8,0.29531728535845375,1
140,POINT,12,2.4563229133190667,0
141,POINT,19,0.5349933089008271,0
142,POINT,7,4.109953011025859,0
143,POINT,8,0.5035397159567515,1
144,POINT,20,0.6296029358032348,0
145,POINT,18,5.19965059222542,0
146,POINT,17,2.5098931547023637,0
147,POINT,23,0.4594142870218498,0
148,POINT,8,0.3653634476315618,1
149,POINT,8,0.44862637356411805,1
150,POINT,23,0.2413319273297481,0
151,POINT,23,3.785424527825917,0
152,POINT,22,0.582600469425482,0
153,POINT,9,0.2213999843482465,0
154,POINT,8,0.6498607935844147,1
155,POINT,9,0.4671206954806757,0
156,POINT,7,5.580183289588406,0
157,POINT,9,0.22089592083443912,0
158,POINT,7,5.612430369474761,0
159,POINT,19,0.3554074318079252,0
160,POINT,23,0.40631521811376187,0
161,POINT,23,0.4065264911500843,0
162,POINT,8,1.6163555682271242,1
163,POINT,4,0.5982652465122388,0
164,POINT,23,0.49440382752062706,0
165,POINT,7,2.4451488653155447,0
166,POINT,20,0.6745696359836824,0
167,POINT,20,0.664069804443498,0
168,POINT,23,0.3896959504595208,0
169,POINT,8,0.10687930435049492,1
170,POINT,23,0.1903166868410537,0
171,POINT,23,0.782939502169311,0
172,POINT,23,0.23588232938598722,0
173,POINT,9,0.4076110984495281,0
174,POINT,9,1.065549416974954,0
175,POINT,8,0.1071849359835725,1
176,POINT,23,0.3131098037913871,0
177,POINT,9,0.17336323816234095,0
178,POINT,8,0.3354874674038674,0
179,POINT,16,0.3112254005881609,0
180,POINT,20,0.5678863214382642,0
181,POINT,9,0.9148290726898807,0
182,POINT,8,0.21577999799828818,1
183,POINT,23,0.31432426228376775,0
184,POINT,9,0.37383058693059307,0
185,POINT,23,0.09816044207058824,0
186,POINT,23,0.23864525453180171,0
187,POINT,8,0.2191879015513568,1
188,POINT,19,0.18974270942628446,0
189,POINT,23,0.16201177676175887,0
190,POINT,11,1.0484831114368494,0
191,POINT,9,0.5124160669066538,0
192,POINT,7,2.354638085037475,0
193,POINT,9,0.5040484619733901,0
194,POINT,22,2.5505971055935928,0
195,POINT,8,0.15526100169065946,1
196,POINT,9,0.5943990086772588,0
197,POINT,23,0.37243412397757353,0
198,POINT,19,0.30477747654002924,0
199,POINT,8,0.6697157624570821,0
200,POINT,13,2.267729645023945,0
201,POINT,13,0.7657235264302478,0
202,POINT,7,2.1291688026380147,0
203,POINT,9,0.5264990094198376,0
204,POINT,23,0.4849457283638622,0
205,POINT,20,3.057068308551148,0
206,POINT,20,0.37295081849808126,0
207,POINT,9,1.9172799706109485,0
208,POINT,23,0.3039587050646516,0
209,POINT,20,0.18214482715519595,0
210,POINT,9,0.12176944826354692,0
211,POINT,18,3.4323187692316464,0
212,POINT,8,0.25225343584809745,1
213,POINT,23,0.6312956019451265,0
214,POINT,9,0.20997695310497155,0
215,POINT,8,0.7031489954389777,1
216,POINT,9,0.4798178967609782,0
217,POINT,18,1.5535528914351056,0
218,POINT,23,0.16230322674815917,0
219,POINT,7,2.530230818702623,0
220,POINT,9,1.2277694498846576,0
221,POINT,9,0.35168865153962287,0
222,POINT,9,0.6163350676994263,0
223,POINT,20,0.3924713475664194,0
224,POINT,8,0.29762997517059747,1
225,POINT,20,0.17157937055637434,0
226,POINT,9,1.705176014894404,0
227,POINT,7,6.22901960677896,0
228,POINT,17,2.0489133068317846,0
229,POINT,9,0.18133007923288139,0
230,POINT,13,2.3897305478798856,0
231,POINT,7,0.40376657910322,0
232,POINT,8,0.2910580843470282,1
233,POINT,23,0.2407599405234235,0
234,POINT,23,0.6366483106459696,0
235,POINT,23,0.5638009765064274,0
236,POINT,9,0.5005853290623603,0
237,POINT,19,0.3541557228468256,0
238,POINT,23,0.24061469606791422,0
239,POINT,22,2.5063717155451197,0
240,POINT,7,2.520749066872914,0
241,POINT,16,0.3059190383015181,0
242,POINT,19,0.9384925244563426,0
243,POINT,23,6.130074466877811,0
244,POINT,8,0.3897189858664936,1
245,POINT,23,0.20119489616906192,0
246,POINT,9,0.17253696396067283,0
247,POINT,9,0.9268547936435656,0
248,POINT,21,0.41845961202503373,0
249,POINT,9,0.562158786495048,0
250,POINT,8,0.5351229408670117,1
251,POINT,8,0.4026911743188648,1
252,POINT,9,0.9422515268505507,0
253,POINT,22,3.2287193100262823,0
254,POINT,23,0.441087606158253,0
255,POINT,9,0.16690912876455574,0
256,POINT,23,0.1373780131566475,0
257,POINT,16,0.04924680663683079,0
258,POINT,9,0.241397273279812,0
259,POINT,9,0.5453208233005686,0
260,POINT,23,0.26637010439791103,0
261,POINT,20,0.3449661767047853,0
262,POINT,22,2.0546565707330617,0
263,POINT,23,0.4052579888043754,0
264,POINT,9,0.31703786633040887,0
265,POINT,22,4.214000794058439,0
