policy,seed,n_requests,n_assigned,assigned_rate,overflow_rate,unserved_or_overflow_rate,mean_straight_line_km,p90_straight_line_km,window,n_base,n_slots,excluded,margin_m,anchor,distinct_min,distinct_next
POINT,1,600,600,1.0,0.0,0.0,1.1636544663481663,3.436854281132363,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,1,600,600,1.0,0.0,0.0,1.1636544663481663,3.436854281132363,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,1,600,600,1.0,0.0,0.0,1.16448493351465,3.436854281132363,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,2,600,600,1.0,0.0,0.0,1.2245776875798726,3.462202309308775,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,2,600,600,1.0,0.0,0.0,1.2245776875798726,3.462202309308775,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,2,600,600,1.0,0.0,0.0,1.2245776875798726,3.462202309308775,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,3,600,600,1.0,0.0,0.0,1.0142858674702002,2.766003793257438,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,3,600,600,1.0,0.0,0.0,1.0142858674702002,2.766003793257438,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,3,600,600,1.0,0.0,0.0,1.0142858674702002,2.766003793257438,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,4,600,600,1.0,0.0,0.0,1.0988831797815557,3.12573604697147,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,4,600,600,1.0,0.0,0.0,1.0988831797815557,3.12573604697147,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,4,600,600,1.0,0.0,0.0,1.0988831797815557,3.12573604697147,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,5,600,600,1.0,0.0,0.0,1.0656033160550704,3.045665995994013,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,5,600,600,1.0,0.0,0.0,1.0656033160550704,3.045665995994013,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,5,600,600,1.0,0.0,0.0,1.0656033160550704,3.045665995994013,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,6,600,600,1.0,0.0,0.0,1.0935464048287007,3.094806475747783,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,6,600,600,1.0,0.0,0.0,1.0935464048287007,3.094806475747783,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,6,600,600,1.0,0.0,0.0,1.0935464048287007,3.094806475747783,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,7,600,600,1.0,0.0,0.0,1.139455883961246,3.3871135095772305,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,7,600,600,1.0,0.0,0.0,1.139455883961246,3.3871135095772305,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,7,600,600,1.0,0.0,0.0,1.139455883961246,3.3871135095772305,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,8,600,600,1.0,0.0,0.0,1.0776485708221102,3.056834583790935,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,8,600,600,1.0,0.0,0.0,1.0776485708221102,3.056834583790935,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,8,600,600,1.0,0.0,0.0,1.0776485708221102,3.056834583790935,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,9,600,600,1.0,0.0,0.0,1.1060494829904428,2.96686893456356,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,9,600,600,1.0,0.0,0.0,1.1060494829904428,2.96686893456356,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,9,600,600,1.0,0.0,0.0,1.1060494829904428,2.96686893456356,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,10,600,600,1.0,0.0,0.0,1.083166059329543,3.1322098076698897,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,10,600,600,1.0,0.0,0.0,1.083166059329543,3.1322098076698897,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,10,600,600,1.0,0.0,0.0,1.083166059329543,3.1322098076698897,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,11,600,600,1.0,0.0,0.0,1.0270702270985839,2.9063694656886794,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,11,600,600,1.0,0.0,0.0,1.0270702270985839,2.9063694656886794,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,11,600,600,1.0,0.0,0.0,1.0270702270985839,2.9063694656886794,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,12,600,600,1.0,0.0,0.0,1.156169503891473,3.3618548489984335,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,12,600,600,1.0,0.0,0.0,1.156169503891473,3.3618548489984335,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,12,600,600,1.0,0.0,0.0,1.156169503891473,3.3618548489984335,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,13,600,600,1.0,0.0,0.0,1.116220559068602,3.0955708906011483,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,13,600,600,1.0,0.0,0.0,1.116220559068602,3.0955708906011483,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,13,600,600,1.0,0.0,0.0,1.116220559068602,3.0955708906011483,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
