source,policy,facility_id,n_assigned,n_overflow,overflow_rate_at_facility,share_of_policy_overflows
EXP-015 archived,INTERVAL,2,2,0,0.0,0.0
EXP-015 archived,INTERVAL,4,9,0,0.0,0.0
EXP-015 archived,INTERVAL,5,3,0,0.0,0.0
EXP-015 archived,INTERVAL,6,3,0,0.0,0.0
EXP-015 archived,INTERVAL,7,43,0,0.0,0.0
EXP-015 archived,INTERVAL,8,14,0,0.0,0.0
EXP-015 archived,INTERVAL,9,107,0,0.0,0.0
EXP-015 archived,INTERVAL,11,4,0,0.0,0.0
EXP-015 archived,INTERVAL,12,14,0,0.0,0.0
EXP-015 archived,INTERVAL,13,8,0,0.0,0.0
EXP-015 archived,INTERVAL,14,9,0,0.0,0.0
EXP-015 archived,INTERVAL,15,2,0,0.0,0.0
EXP-015 archived,INTERVAL,16,17,0,0.0,0.0
EXP-015 archived,INTERVAL,17,10,0,0.0,0.0
EXP-015 archived,INTERVAL,18,25,0,0.0,0.0
EXP-015 archived,INTERVAL,19,115,0,0.0,0.0
EXP-015 archived,INTERVAL,20,46,0,0.0,0.0
EXP-015 archived,INTERVAL,21,1,0,0.0,0.0
EXP-015 archived,INTERVAL,22,44,0,0.0,0.0
EXP-015 archived,INTERVAL,23,124,0,0.0,0.0
EXP-015 archived,POINT,8,105,89,0.8476,1.0
EXP-015 archived,POINT,2,1,0,0.0,0.0
EXP-015 archived,POINT,4,9,0,0.0,0.0
EXP-015 archived,POINT,5,3,0,0.0,0.0
EXP-015 archived,POINT,6,3,0,0.0,0.0
EXP-015 archived,POINT,7,43,0,0.0,0.0
EXP-015 archived,POINT,9,107,0,0.0,0.0
EXP-015 archived,POINT,11,3,0,0.0,0.0
EXP-015 archived,POINT,12,14,0,0.0,0.0
EXP-015 archived,POINT,13,8,0,0.0,0.0
EXP-015 archived,POINT,14,9,0,0.0,0.0
EXP-015 archived,POINT,15,2,0,0.0,0.0
EXP-015 archived,POINT,16,17,0,0.0,0.0
EXP-015 archived,POINT,17,10,0,0.0,0.0
EXP-015 archived,POINT,18,24,0,0.0,0.0
EXP-015 archived,POINT,19,39,0,0.0,0.0
EXP-015 archived,POINT,20,46,0,0.0,0.0
EXP-015 archived,POINT,21,1,0,0.0,0.0
EXP-015 archived,POINT,22,44,0,0.0,0.0
EXP-015 archived,POINT,23,112,0,0.0,0.0
