experiment,unit,statistic,before,after,delta,changed
EXP-017/019 core headline,belgrade | y_t+15min | ACI,PICP,0.8929243170622481,0.8912502932207366,-0.001674023841511496,True
EXP-017/019 core headline,belgrade | y_t+15min | ACI,std,0.0108880160865863,0.0077292897170328,-0.0031587263695534995,True
EXP-017/019 core headline,belgrade | y_t+15min | ACI,MPIW,15.967858052164535,14.561510273738133,-1.4063477784264027,True
EXP-017/019 core headline,belgrade | y_t+15min | ACI,Winkler,24.23333831648895,22.446972928436885,-1.7863653880520651,True
EXP-017/019 core headline,belgrade | y_t+15min | ACI,ci_contains,0.9090909090909092,0.9523809523809524,0.04329004329004327,True
EXP-017/019 core headline,belgrade | y_t+15min | ACI,safe,0.0454545454545454,0.0,-0.0454545454545454,True
EXP-017/019 core headline,belgrade | y_t+15min | ACI,n,22.0,21.0,-1.0,True
EXP-017/019 core headline,belgrade | y_t+15min | ACQR,PICP,0.8931482310792657,0.8940182969739622,0.0008700658946965145,True
EXP-017/019 core headline,belgrade | y_t+15min | ACQR,std,0.0065896476958556,0.005301659261169,-0.0012879884346866004,True
EXP-017/019 core headline,belgrade | y_t+15min | ACQR,MPIW,13.14680215819858,12.910131949185327,-0.23667020901325309,True
EXP-017/019 core headline,belgrade | y_t+15min | ACQR,Winkler,19.790467273355087,19.340870296876624,-0.44959697647846397,True
EXP-017/019 core headline,belgrade | y_t+15min | ACQR,ci_contains,0.9545454545454546,0.9523809523809524,-0.0021645021645021467,True
EXP-017/019 core headline,belgrade | y_t+15min | ACQR,safe,0.0,0.0,0.0,False
EXP-017/019 core headline,belgrade | y_t+15min | ACQR,n,22.0,21.0,-1.0,True
EXP-017/019 core headline,belgrade | y_t+15min | CQR,PICP,0.8992834751455441,0.8994604738447103,0.0001769986991662087,True
EXP-017/019 core headline,belgrade | y_t+15min | CQR,std,0.0282172582442106,0.028901568412439,0.000684310168228397,True
EXP-017/019 core headline,belgrade | y_t+15min | CQR,MPIW,12.503308616769106,12.195498183785968,-0.30781043298313726,True
EXP-017/019 core headline,belgrade | y_t+15min | CQR,Winkler,20.09686248984664,19.62627404422272,-0.4705884456239211,True
EXP-017/019 core headline,belgrade | y_t+15min | CQR,ci_contains,0.7727272727272727,0.7619047619047619,-0.010822510822510845,True
EXP-017/019 core headline,belgrade | y_t+15min | CQR,safe,0.3636363636363636,0.3809523809523809,0.017316017316017285,True
EXP-017/019 core headline,belgrade | y_t+15min | CQR,n,22.0,21.0,-1.0,True
EXP-017/019 core headline,belgrade | y_t+15min | split-CP,PICP,0.8992386923421404,0.9008210180623974,0.0015823257202570717,True
EXP-017/019 core headline,belgrade | y_t+15min | split-CP,std,0.0408239734523081,0.0411350205498103,0.00031104709750220255,True
EXP-017/019 core headline,belgrade | y_t+15min | split-CP,MPIW,16.77435100593954,14.869490181837088,-1.9048608241024514,True
EXP-017/019 core headline,belgrade | y_t+15min | split-CP,Winkler,26.82656629355864,23.925942620107836,-2.900623673450802,True
EXP-017/019 core headline,belgrade | y_t+15min | split-CP,ci_contains,0.6363636363636364,0.6190476190476191,-0.017316017316017285,True
EXP-017/019 core headline,belgrade | y_t+15min | split-CP,safe,0.4090909090909091,0.4285714285714285,0.019480519480519376,True
EXP-017/019 core headline,belgrade | y_t+15min | split-CP,n,22.0,21.0,-1.0,True
EXP-017/019 core headline,birmingham | y_t+60min | ACI,PICP,0.8889896755270572,0.8889896755270572,0.0,False
EXP-017/019 core headline,birmingham | y_t+60min | ACI,std,0.0154724012653765,0.0154724012653765,0.0,False
EXP-017/019 core headline,birmingham | y_t+60min | ACI,MPIW,131.55425297545514,131.55425297545514,0.0,False
EXP-017/019 core headline,birmingham | y_t+60min | ACI,Winkler,175.3088318593743,175.3088318593743,0.0,False
EXP-017/019 core headline,birmingham | y_t+60min | ACI,ci_contains,1.0,1.0,0.0,False
EXP-017/019 core headline,birmingham | y_t+60min | ACI,safe,0.0357142857142857,0.0357142857142857,0.0,False
EXP-017/019 core headline,birmingham | y_t+60min | ACI,n,28.0,28.0,0.0,False
EXP-017/019 core headline,birmingham | y_t+60min | ACQR,PICP,0.8927995800852744,0.8927995800852744,0.0,False
EXP-017/019 core headline,birmingham | y_t+60min | ACQR,std,0.0234496404887133,0.0234496404887133,0.0,False
EXP-017/019 core headline,birmingham | y_t+60min | ACQR,MPIW,139.22077292937573,139.22077292937573,0.0,False
EXP-017/019 core headline,birmingham | y_t+60min | ACQR,Winkler,176.2771307337063,176.2771307337063,0.0,False
EXP-017/019 core headline,birmingham | y_t+60min | ACQR,ci_contains,0.8928571428571429,0.8928571428571429,0.0,False
