dataset,horizon,level,method,n_facilities,mean_PICP,sd_PICP,mean_MPIW,mean_Winkler,frac_below_0p90,worst_facility_PICP,archived_mean_PICP,archived_sd_PICP
belgrade,y_t+15min,0.9,ACI-crosscheck,22,0.8929,0.0109,15.9679,24.2333,0.9091,0.869,,
belgrade,y_t+15min,0.9,AgACI-style,22,0.9129,0.0103,15.2068,22.0079,0.0455,0.8985,0.933,0.009
belgrade,y_t+15min,0.9,EnbPI,22,0.8916,0.0607,16.1659,28.2023,0.4091,0.664,0.8874,0.068
belgrade,y_t+15min,0.9,NGBoost,22,0.7597,0.0859,8.4957,28.0317,1.0,0.468,0.76,0.0867
belgrade,y_t+15min,0.9,NGBoost-conformal,22,0.887,0.0434,12.0805,25.1949,0.5455,0.7872,,
birmingham,y_t+60min,0.9,ACI-crosscheck,28,0.889,0.0155,131.5543,175.3088,0.8571,0.8659,,
birmingham,y_t+60min,0.9,AgACI-style,28,0.8977,0.0144,130.8588,171.0261,0.6429,0.8707,0.9066,0.0199
birmingham,y_t+60min,0.9,EnbPI,28,0.8413,0.0802,104.0054,178.5533,0.7143,0.7121,0.8448,0.0782
birmingham,y_t+60min,0.9,NGBoost,28,0.3722,0.1474,28.9842,408.702,1.0,0.1185,0.3837,0.1575
birmingham,y_t+60min,0.9,NGBoost-conformal,28,0.9014,0.0488,134.5161,175.7273,0.4643,0.8175,,
