dataset,horizon,level,method,n_facilities,mean_PICP,sd_PICP,mean_MPIW,mean_Winkler,frac_below_0p90,worst_facility_PICP,archived_mean_PICP,archived_sd_PICP
belgrade,y_t+15min,0.9,ACI-crosscheck,21,0.8913,0.0077,14.5615,22.447,0.9524,0.869,,
belgrade,y_t+15min,0.9,AgACI-style,21,0.9113,0.0069,14.4593,20.9828,0.0476,0.8985,0.933,0.009
belgrade,y_t+15min,0.9,EnbPI,21,0.9024,0.034,15.3825,23.7471,0.381,0.801,0.8874,0.068
belgrade,y_t+15min,0.9,NGBoost,21,0.7736,0.0573,8.4099,22.0401,1.0,0.6591,0.76,0.0867
belgrade,y_t+15min,0.9,NGBoost-conformal,21,0.8917,0.0382,11.8777,19.8879,0.5238,0.8089,,
birmingham,y_t+60min,0.9,ACI-crosscheck,28,0.889,0.0155,131.5543,175.3088,0.8571,0.8659,,
birmingham,y_t+60min,0.9,AgACI-style,28,0.8977,0.0144,130.8588,171.0261,0.6429,0.8707,0.9066,0.0199
birmingham,y_t+60min,0.9,EnbPI,28,0.8413,0.0802,104.0054,178.5533,0.7143,0.7121,0.8448,0.0782
birmingham,y_t+60min,0.9,NGBoost,28,0.3722,0.1474,28.9842,408.702,1.0,0.1185,0.3837,0.1575
birmingham,y_t+60min,0.9,NGBoost-conformal,28,0.9014,0.0488,134.5161,175.7273,0.4643,0.8175,,
