partition,cramers_v_vs_tod,method,n_cells,mean_PICP,sd_PICP,min_PICP,range_PICP,cells_below_080,cells_below_085,MPIW,dispersion_ratio_vs_splitCP
time_of_day,1.0,split-CP,110,0.8987,0.0993,0.516,0.484,14,23,16.81,1.0
time_of_day,1.0,Mondrian-split-CP,110,0.8965,0.0772,0.62,0.38,15,23,15.13,1.29
time_of_day,1.0,ACI,110,0.893,0.0753,0.672,0.328,12,33,16.21,1.32
time_of_day,1.0,ToD-ACI,110,0.8982,0.028,0.8421,0.1579,0,3,16.22,3.55
day_of_week,0.153,split-CP,88,0.8992,0.0684,0.688,0.312,6,17,16.77,1.0
day_of_week,0.153,Mondrian-split-CP,88,0.8935,0.0701,0.7,0.3,9,21,14.83,0.98
day_of_week,0.153,ACI,88,0.8933,0.038,0.7743,0.2257,2,9,15.96,1.8
day_of_week,0.153,ToD-ACI,88,0.8998,0.0469,0.7708,0.2292,2,15,16.13,1.46
occupancy_tercile,0.558,split-CP,64,0.8956,0.1058,0.582,0.418,12,22,16.25,1.0
occupancy_tercile,0.558,Mondrian-split-CP,64,0.8884,0.0776,0.6523,0.3423,9,18,14.54,1.36
occupancy_tercile,0.558,ACI,64,0.8857,0.0691,0.7442,0.2558,8,20,15.84,1.53
occupancy_tercile,0.558,ToD-ACI,64,0.8942,0.05,0.7668,0.2251,1,14,16.09,2.11
random_5,0.061,split-CP,110,0.899,0.0442,0.7321,0.2529,3,16,16.78,1.0
random_5,0.061,Mondrian-split-CP,110,0.8932,0.0572,0.7289,0.2711,9,25,14.84,0.77
random_5,0.061,ACI,110,0.8924,0.0228,0.8253,0.1273,0,5,15.96,1.94
random_5,0.061,ToD-ACI,110,0.8983,0.0266,0.8313,0.1547,0,3,16.11,1.66
