partition,cramers_v_vs_tod,method,n_cells,mean_PICP,sd_PICP,min_PICP,range_PICP,cells_below_080,cells_below_085,MPIW,dispersion_ratio_vs_splitCP
time_of_day,1.0,split-CP,105,0.8996,0.0968,0.516,0.484,12,21,14.9,1.0
time_of_day,1.0,Mondrian-split-CP,105,0.8919,0.076,0.62,0.38,15,23,13.38,1.27
time_of_day,1.0,ACI,105,0.8913,0.0756,0.672,0.328,12,32,14.81,1.28
time_of_day,1.0,ToD-ACI,105,0.8949,0.0214,0.8421,0.1237,0,3,14.88,4.54
day_of_week,0.153,split-CP,84,0.9009,0.0636,0.688,0.312,4,15,14.87,1.0
day_of_week,0.153,Mondrian-split-CP,84,0.8887,0.0682,0.7,0.292,9,21,12.9,0.93
day_of_week,0.153,ACI,84,0.8919,0.0356,0.7743,0.2057,2,8,14.58,1.79
day_of_week,0.153,ToD-ACI,84,0.8966,0.0443,0.7708,0.2092,2,15,14.67,1.44
occupancy_tercile,0.569,split-CP,62,0.8971,0.104,0.582,0.418,11,21,14.96,1.0
occupancy_tercile,0.569,Mondrian-split-CP,62,0.8851,0.0765,0.6523,0.3416,9,18,13.24,1.36
occupancy_tercile,0.569,ACI,62,0.8845,0.0694,0.7442,0.2558,8,20,14.85,1.5
occupancy_tercile,0.569,ToD-ACI,62,0.8918,0.0489,0.7668,0.2251,1,14,15.07,2.13
random_5,0.061,split-CP,105,0.9008,0.0439,0.7321,0.2529,3,14,14.87,1.0
random_5,0.061,Mondrian-split-CP,105,0.8884,0.0542,0.7289,0.253,9,25,12.9,0.81
random_5,0.061,ACI,105,0.8908,0.0216,0.8253,0.1093,0,5,14.55,2.03
random_5,0.061,ToD-ACI,105,0.8949,0.0218,0.8313,0.1106,0,3,14.62,2.02
