method,commit_target,commit_rate,MAE_cars,MAE_pct,committed_PICP,committed_MPIW,n_facilities,abst_lift_night,abst_lift_am_rush,abst_lift_midday,abst_lift_pm_rush,abst_lift_evening
width-ACQR,0.1,0.173,0.79,0.781,0.9038,3.52,21,0.701,1.021,1.167,1.197,1.05
width-ACQR,0.2,0.296,1.066,1.027,0.907,4.47,21,0.469,1.041,1.32,1.343,1.042
width-ACQR,0.3,0.427,1.333,1.267,0.9054,5.54,21,0.314,0.99,1.471,1.486,0.969
width-ACQR,0.4,0.533,1.548,1.464,0.902,6.4,21,0.224,0.922,1.585,1.641,0.834
width-ACQR,0.5,0.605,1.733,1.645,0.8974,7.03,21,0.176,0.886,1.666,1.685,0.771
width-ACQR,0.6,0.667,1.902,1.804,0.894,7.64,21,0.153,0.833,1.712,1.75,0.721
width-ACQR,0.7,0.733,2.101,1.962,0.8925,8.41,21,0.119,0.789,1.767,1.825,0.646
width-ACQR,0.8,0.812,2.335,2.153,0.8924,9.41,21,0.109,0.765,1.774,1.893,0.598
width-ACQR,0.9,0.893,2.65,2.375,0.8907,10.58,21,0.108,0.782,1.72,1.98,0.562
width-ACQR,1.0,0.981,3.039,2.602,0.8933,12.3,21,0.005,0.24,2.085,2.493,0.169
random,0.1,0.173,3.128,2.66,0.8957,12.99,21,,,,,
random,0.2,0.296,3.131,2.635,0.8932,12.9,21,,,,,
random,0.3,0.427,3.13,2.65,0.8943,12.89,21,,,,,
random,0.4,0.533,3.122,2.64,0.8946,12.92,21,,,,,
random,0.5,0.605,3.122,2.643,0.8937,12.9,21,,,,,
random,0.6,0.667,3.145,2.648,0.8937,12.92,21,,,,,
random,0.7,0.733,3.124,2.641,0.8944,12.91,21,,,,,
random,0.8,0.812,3.132,2.648,0.8938,12.93,21,,,,,
random,0.9,0.893,3.134,2.65,0.8936,12.91,21,,,,,
random,1.0,0.981,3.131,2.647,0.8938,12.91,21,,,,,
commit-all,1.0,1.0,3.129,2.645,0.894,12.91,21,,,,,
