policy,theta,seed,n_requests,n_assigned,assigned_rate,abstention_rate,bad_assignment_rate_of_assigned,bad_assignments_per_request,unserved_or_bad_rate,mean_straight_line_km,p90_straight_line_km,window,n_base,n_slots,excluded,margin_m,anchor
POINT,0.85,1,600,600,1.0,0.0,0.005,0.005,0.005,1.377653861589198,3.745752917201826,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,1,600,600,1.0,0.0,0.0,0.0,0.0,1.6532463963238675,4.717214563522824,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,1,600,600,1.0,0.0,0.0,0.0,0.0,1.493195635176215,4.0258565264661526,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,2,600,600,1.0,0.0,0.01,0.01,0.01,1.4018974108618212,3.77003667749209,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,2,600,600,1.0,0.0,0.0,0.0,0.0,1.7125834931708066,5.216949750337833,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,2,600,600,1.0,0.0,0.0,0.0,0.0,1.5498906075462529,4.216495029094316,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,3,600,600,1.0,0.0,0.01,0.01,0.01,1.1227266998439256,2.94838332931611,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,3,600,600,1.0,0.0,0.0,0.0,0.0,1.4298134480874438,4.3491725637996765,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,3,600,600,1.0,0.0,0.0,0.0,0.0,1.3283249701565383,3.5014462601269303,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,4,600,600,1.0,0.0,0.011666666666666667,0.011666666666666667,0.011666666666666667,1.3105079325796605,3.5007922224611416,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,4,600,600,1.0,0.0,0.0,0.0,0.0,1.6236036973753645,4.7664998907408,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,4,600,600,1.0,0.0,0.0,0.0,0.0,1.5196444920067143,4.006692447702085,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,5,600,600,1.0,0.0,0.011666666666666667,0.011666666666666667,0.011666666666666667,1.248602787937335,3.3867549622944266,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,5,600,600,1.0,0.0,0.0,0.0,0.0,1.5535263112794961,4.328079760574993,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,5,600,600,1.0,0.0,0.0,0.0,0.0,1.4249960626791278,3.718084467018805,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,6,600,600,1.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,1.2639316462097945,3.4132974924065804,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,6,600,600,1.0,0.0,0.0,0.0,0.0,1.5775660693941107,4.965857088093909,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,6,600,600,1.0,0.0,0.0,0.0,0.0,1.4080100059982124,3.84506410571924,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,7,600,600,1.0,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,1.294999372612756,3.645900189335163,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,7,600,600,1.0,0.0,0.0,0.0,0.0,1.5652243491622126,4.385563442341605,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,7,600,600,1.0,0.0,0.0,0.0,0.0,1.434246302200215,4.019632162597727,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,8,600,600,1.0,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,1.200460915800402,3.3803189881246274,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,8,600,600,1.0,0.0,0.0,0.0,0.0,1.490673900707366,4.48915378057046,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,8,600,600,1.0,0.0,0.0,0.0,0.0,1.3240452876590523,3.534550375900309,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,9,600,600,1.0,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,1.2752369531111696,3.399487851755186,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,9,600,600,1.0,0.0,0.0,0.0,0.0,1.5511142499510548,4.320216554723592,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,9,600,600,1.0,0.0,0.0,0.0,0.0,1.406436071669871,3.81622619749024,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,10,600,600,1.0,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,1.216201318590548,3.2778973461364553,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,10,600,600,1.0,0.0,0.0,0.0,0.0,1.4855514163964345,4.415063558119034,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,10,600,600,1.0,0.0,0.0,0.0,0.0,1.3337423387949225,3.53221657585391,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,11,600,600,1.0,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,1.199928850312397,3.1890309660187697,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,11,600,600,1.0,0.0,0.0,0.0,0.0,1.4870157014990424,4.341926619179653,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,11,600,600,1.0,0.0,0.0,0.0,0.0,1.3399700292706243,3.510144565788282,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,12,600,600,1.0,0.0,0.01,0.01,0.01,1.3202154300355597,3.6865394394334072,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,12,600,600,1.0,0.0,0.0,0.0,0.0,1.6803575181941375,5.453260095929662,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,12,600,600,1.0,0.0,0.0,0.0,0.0,1.4736447485133026,4.017375625510069,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,13,600,600,1.0,0.0,0.011666666666666667,0.011666666666666667,0.011666666666666667,1.2814602484235482,3.4173247317477022,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,13,600,600,1.0,0.0,0.0,0.0,0.0,1.6223620754933095,5.05481092236093,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,13,600,600,1.0,0.0,0.0,0.0,0.0,1.4603414117060014,4.099385151955579,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,14,600,600,1.0,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,1.336911474560578,3.5560481989333166,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,14,600,600,1.0,0.0,0.0,0.0,0.0,1.5975986785365621,4.215566617290533,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,14,600,600,1.0,0.0,0.0,0.0,0.0,1.4719185240280754,3.701835898184142,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,15,600,600,1.0,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,1.2887800099008446,3.419439492272177,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,15,600,600,1.0,0.0,0.0,0.0,0.0,1.6042019500052727,4.894083057045233,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,15,600,600,1.0,0.0,0.0,0.0,0.0,1.4890532413322413,3.9868331620203823,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,16,600,600,1.0,0.0,0.008333333333333333,0.008333333333333333,0.008333333333333333,1.4365764032758916,3.7811193389330278,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,16,600,600,1.0,0.0,0.0,0.0,0.0,1.6826270746387668,4.637184659576615,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,16,600,600,1.0,0.0,0.0,0.0,0.0,1.538929287524385,4.085615944560129,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,17,600,600,1.0,0.0,0.005,0.005,0.005,1.3009549960419422,3.5285230931827405,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,17,600,600,1.0,0.0,0.0,0.0,0.0,1.674459484152946,4.85945617088624,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,17,600,600,1.0,0.0,0.0,0.0,0.0,1.5084909324960485,3.9015494247523206,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,18,600,600,1.0,0.0,0.008333333333333333,0.008333333333333333,0.008333333333333333,1.3115996012814757,3.5250650825836907,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,18,600,600,1.0,0.0,0.0,0.0,0.0,1.5651298524043586,4.271281764098159,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,18,600,600,1.0,0.0,0.0,0.0,0.0,1.432911358800595,3.8529826485756637,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,19,600,600,1.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,1.426419323542738,3.9042072395672434,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,19,600,600,1.0,0.0,0.0,0.0,0.0,1.6343387626027743,4.879793855083472,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,19,600,600,1.0,0.0,0.0,0.0,0.0,1.5500655034502122,4.412098374053249,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.85,20,600,600,1.0,0.0,0.01,0.01,0.01,1.3281270567421517,3.689161963056821,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.85,20,600,600,1.0,0.0,0.0,0.0,0.0,1.6229991327529667,4.941576903793393,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.85,20,600,600,1.0,0.0,0.0,0.0,0.0,1.49787726248454,4.392149421236696,weekday,20,167,8,9.777785844442262,9;12;7;13
POINT,0.9,1,600,600,1.0,0.0,0.0,0.0,0.0,1.215778257623892,3.436854281132363,weekday,20,167,8,9.777785844442262,9;12;7;13
INTERVAL,0.9,1,600,600,1.0,0.0,0.0,0.0,0.0,1.3580105959277091,3.745752917201826,weekday,20,167,8,9.777785844442262,9;12;7;13
MARGIN,0.9,1,600,600,1.0,0.0,0.0,0.0,0.0,1.2406601544815559,3.4583947602687295,weekday,20,167,8,9.777785844442262,9;12;7;13
