city,horizon,level,method,n_facilities,excluded_facilities,mean_facility_PICP,pooled_PICP_obs_weighted,sd_PICP,worst_facility_id,worst_facility_PICP,best_facility_PICP,mean_minus_worst,n_within_002,mean_within_002,n_facilities_below_080,source_file
belgrade,y_t+5min,0.8,split-CP,21,1;8,0.815751,0.815751,0.043363,9,0.701082,0.878073,0.11467,4,True,6,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+5min,0.8,CQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-belgrade-gcal-per-facility.csv holds no CQR rows at level 0.8
belgrade,y_t+5min,0.8,ACI,21,1;8,0.793417,0.793417,0.006226,5,0.772861,0.79941,0.020555,19,True,21,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+5min,0.8,ACQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-belgrade-gcal-per-facility.csv holds no ACQR rows at level 0.8
belgrade,y_t+5min,0.85,split-CP,21,1;8,0.864494,0.864494,0.038739,9,0.756146,0.907571,0.108349,7,True,2,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+5min,0.85,CQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-belgrade-gcal-per-facility.csv holds no CQR rows at level 0.85
belgrade,y_t+5min,0.85,ACI,21,1;8,0.842768,0.842768,0.004684,18,0.828909,0.849558,0.01386,20,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+5min,0.85,ACQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-belgrade-gcal-per-facility.csv holds no ACQR rows at level 0.85
belgrade,y_t+5min,0.9,split-CP,21,1;8,0.905979,0.905979,0.030909,9,0.809243,0.936087,0.096736,12,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+5min,0.9,CQR,21,1;8,0.905745,0.905745,0.019696,7,0.86234,0.936087,0.043405,12,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+5min,0.9,ACI,21,1;8,0.893758,0.893758,0.0045,5,0.885939,0.900688,0.007819,21,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+5min,0.9,ACQR,21,1;8,0.896662,0.896662,0.002779,13,0.887906,0.901672,0.008756,21,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+5min,0.95,split-CP,21,1;8,0.949431,0.949431,0.02467,9,0.869223,0.977384,0.080208,16,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+5min,0.95,CQR,21,1;8,0.950929,0.950929,0.013309,6,0.922321,0.971485,0.028609,18,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+5min,0.95,ACI,21,1;8,0.945498,0.945498,0.004224,13,0.935103,0.950836,0.010395,21,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+5min,0.95,ACQR,21,1;8,0.947792,0.947792,0.002505,2,0.941986,0.952802,0.005806,21,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+15min,0.8,split-CP,21,1;8,0.808586,0.808586,0.05326,9,0.693596,0.876847,0.114989,4,True,7,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+15min,0.8,CQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-belgrade-gcal-per-facility.csv holds no CQR rows at level 0.8
belgrade,y_t+15min,0.8,ACI,21,1;8,0.785644,0.785644,0.009736,9,0.764532,0.797044,0.021112,16,True,21,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+15min,0.8,ACQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-belgrade-gcal-per-facility.csv holds no ACQR rows at level 0.8
belgrade,y_t+15min,0.85,split-CP,21,1;8,0.855454,0.855454,0.047292,9,0.743842,0.916256,0.111612,6,True,3,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+15min,0.85,CQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-belgrade-gcal-per-facility.csv holds no CQR rows at level 0.85
belgrade,y_t+15min,0.85,ACI,21,1;8,0.83908,0.83908,0.008108,9,0.818719,0.851232,0.020361,19,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+15min,0.85,ACQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-belgrade-gcal-per-facility.csv holds no ACQR rows at level 0.85
belgrade,y_t+15min,0.9,split-CP,21,1;8,0.900821,0.900821,0.041135,9,0.787192,0.958621,0.113629,11,True,1,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+15min,0.9,CQR,21,1;8,0.89946,0.89946,0.028902,9,0.826601,0.939901,0.072859,13,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+15min,0.9,ACI,21,1;8,0.89125,0.89125,0.007729,13,0.868966,0.901478,0.022285,19,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+15min,0.9,ACQR,21,1;8,0.894018,0.894018,0.005302,13,0.878818,0.900493,0.015201,20,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+15min,0.95,split-CP,21,1;8,0.94403,0.94403,0.035866,9,0.834483,0.984236,0.109547,15,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+15min,0.95,CQR,21,1;8,0.944734,0.944734,0.026906,7,0.879803,0.982266,0.064931,11,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+15min,0.95,ACI,21,1;8,0.943749,0.943749,0.006804,13,0.919212,0.950739,0.024537,20,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+15min,0.95,ACQR,21,1;8,0.944124,0.944124,0.005855,13,0.929064,0.95468,0.01506,20,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+30min,0.8,split-CP,21,1;8,0.81023,0.81023,0.069171,7,0.626482,0.908103,0.183747,4,True,7,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+30min,0.8,CQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-belgrade-gcal-per-facility.csv holds no CQR rows at level 0.8
belgrade,y_t+30min,0.8,ACI,21,1;8,0.787079,0.787079,0.00794,12,0.772727,0.798419,0.014352,17,True,21,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+30min,0.8,ACQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-belgrade-gcal-per-facility.csv holds no ACQR rows at level 0.8
belgrade,y_t+30min,0.85,split-CP,21,1;8,0.853473,0.853473,0.067007,7,0.675889,0.94664,0.177583,6,True,3,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+30min,0.85,CQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-belgrade-gcal-per-facility.csv holds no CQR rows at level 0.85
belgrade,y_t+30min,0.85,ACI,21,1;8,0.838086,0.838086,0.010598,9,0.804348,0.850791,0.033738,18,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+30min,0.85,ACQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-belgrade-gcal-per-facility.csv holds no ACQR rows at level 0.85
belgrade,y_t+30min,0.9,split-CP,21,1;8,0.897798,0.897798,0.054646,9,0.762846,0.963439,0.134952,9,True,2,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+30min,0.9,CQR,21,1;8,0.89841,0.89841,0.042198,7,0.79249,0.963439,0.105919,7,True,1,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+30min,0.9,ACI,21,1;8,0.888716,0.888716,0.009506,9,0.869565,0.905138,0.019151,18,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+30min,0.9,ACQR,21,1;8,0.893375,0.893375,0.00854,19,0.868577,0.90415,0.024798,20,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+30min,0.95,split-CP,21,1;8,0.942547,0.942547,0.044058,9,0.820158,0.993083,0.122388,9,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+30min,0.95,CQR,21,1;8,0.941088,0.941088,0.03941,9,0.831028,0.988142,0.11006,8,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+30min,0.95,ACI,21,1;8,0.942782,0.942782,0.007341,12,0.926877,0.954545,0.015904,19,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
belgrade,y_t+30min,0.95,ACQR,21,1;8,0.942641,0.942641,0.006438,9,0.922925,0.949605,0.019716,20,True,0,2026-09-02-core-belgrade-gcal-per-facility.csv
birmingham,y_t+30min,0.8,split-CP,28,none,0.79172,0.789298,0.0678,7,0.669118,0.914634,0.122603,4,True,17,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+30min,0.8,CQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-birmingham-gcal-per-facility.csv holds no CQR rows at level 0.8
birmingham,y_t+30min,0.8,ACI,28,none,0.787089,0.787068,0.018792,24,0.740741,0.817391,0.046348,20,True,22,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+30min,0.8,ACQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-birmingham-gcal-per-facility.csv holds no ACQR rows at level 0.8
birmingham,y_t+30min,0.85,split-CP,28,none,0.849015,0.846711,0.060815,28,0.733333,0.963415,0.115682,6,True,5,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+30min,0.85,CQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-birmingham-gcal-per-facility.csv holds no CQR rows at level 0.85
birmingham,y_t+30min,0.85,ACI,28,none,0.841176,0.841416,0.017241,24,0.814815,0.911111,0.026361,21,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+30min,0.85,ACQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-birmingham-gcal-per-facility.csv holds no ACQR rows at level 0.85
birmingham,y_t+30min,0.9,split-CP,28,none,0.907212,0.904682,0.046276,28,0.844444,1.0,0.062768,9,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+30min,0.9,CQR,28,none,0.894165,0.893255,0.036161,7,0.823529,0.955556,0.070636,14,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+30min,0.9,ACI,28,none,0.893954,0.894091,0.010337,2,0.87069,0.925926,0.023264,25,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+30min,0.9,ACQR,28,none,0.895249,0.895764,0.013691,20,0.878049,0.925926,0.017201,24,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+30min,0.95,split-CP,28,none,0.954658,0.953177,0.028221,25,0.911111,1.0,0.043547,13,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+30min,0.95,CQR,28,none,0.949416,0.948161,0.03289,28,0.866667,1.0,0.082749,12,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+30min,0.95,ACI,28,none,0.940548,0.940357,0.01041,7,0.911765,0.955556,0.028783,24,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+30min,0.95,ACQR,28,none,0.944514,0.944537,0.010755,28,0.911111,0.97037,0.033403,25,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+60min,0.8,split-CP,28,none,0.769862,0.767001,0.07184,7,0.639706,0.896296,0.130156,1,False,18,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+60min,0.8,CQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-birmingham-gcal-per-facility.csv holds no CQR rows at level 0.8
