population,city,horizon,n_facilities,n_pairs,n_common_test_timestamps,statistic,value,p_value,n_permutations,seed,facility_ids,note
exclusion_base,belgrade,y_t+15min,20,190,1018,mantel_r_distance_vs_residcorr,-0.128386,0.139300,9999,42,2;3;4;5;6;7;9;11;12;13;14;15;16;17;18;19;20;21;22;23,paper evaluation base (dynamic AND NOT low-information) INTERSECT has-coordinates
exclusion_base,belgrade,y_t+15min,20,190,1018,mean_pairwise_raw_occupancy_corr,0.584386,,,42,2;3;4;5;6;7;9;11;12;13;14;15;16;17;18;19;20;21;22;23,paper evaluation base (dynamic AND NOT low-information) INTERSECT has-coordinates
exclusion_base,belgrade,y_t+15min,20,190,1018,mean_pairwise_resid_corr,0.012282,,,42,2;3;4;5;6;7;9;11;12;13;14;15;16;17;18;19;20;21;22;23,paper evaluation base (dynamic AND NOT low-information) INTERSECT has-coordinates
exclusion_base,belgrade,y_t+15min,20,190,1018,mean_resid_corr_far_gt5km,0.002155,,,42,2;3;4;5;6;7;9;11;12;13;14;15;16;17;18;19;20;21;22;23,paper evaluation base (dynamic AND NOT low-information) INTERSECT has-coordinates
exclusion_base,belgrade,y_t+15min,20,190,1018,mean_resid_corr_near_lt2km,0.037066,,,42,2;3;4;5;6;7;9;11;12;13;14;15;16;17;18;19;20;21;22;23,paper evaluation base (dynamic AND NOT low-information) INTERSECT has-coordinates
exclusion_base,belgrade,y_t+15min,20,190,1018,morans_I_mean_aci_halfwidth,0.008912,0.888000,999,42,2;3;4;5;6;7;9;11;12;13;14;15;16;17;18;19;20;21;22;23,paper evaluation base (dynamic AND NOT low-information) INTERSECT has-coordinates
exclusion_base,belgrade,y_t+15min,20,190,1018,spearman_rho_residcorr_vs_distance_naive,-0.132960,0.067436,,42,2;3;4;5;6;7;9;11;12;13;14;15;16;17;18;19;20;21;22;23,paper evaluation base (dynamic AND NOT low-information) INTERSECT has-coordinates
published_21,belgrade,y_t+15min,21,210,1018,mantel_r_distance_vs_residcorr,-0.128609,0.151300,9999,42,2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23,"published roster: coords AND train-window std>=5 (retains facility 8, omits 24) -- NEGATIVE CONTROL"
published_21,belgrade,y_t+15min,21,210,1018,mean_pairwise_raw_occupancy_corr,0.516474,,,42,2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23,"published roster: coords AND train-window std>=5 (retains facility 8, omits 24) -- NEGATIVE CONTROL"
published_21,belgrade,y_t+15min,21,210,1018,mean_pairwise_resid_corr,0.007124,,,42,2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23,"published roster: coords AND train-window std>=5 (retains facility 8, omits 24) -- NEGATIVE CONTROL"
published_21,belgrade,y_t+15min,21,210,1018,mean_resid_corr_far_gt5km,-0.004525,,,42,2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23,"published roster: coords AND train-window std>=5 (retains facility 8, omits 24) -- NEGATIVE CONTROL"
published_21,belgrade,y_t+15min,21,210,1018,mean_resid_corr_near_lt2km,0.025100,,,42,2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23,"published roster: coords AND train-window std>=5 (retains facility 8, omits 24) -- NEGATIVE CONTROL"
published_21,belgrade,y_t+15min,21,210,1018,morans_I_mean_aci_halfwidth,-0.008668,0.905000,999,42,2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23,"published roster: coords AND train-window std>=5 (retains facility 8, omits 24) -- NEGATIVE CONTROL"
published_21,belgrade,y_t+15min,21,210,1018,spearman_rho_residcorr_vs_distance_naive,-0.121024,0.080156,,42,2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23,"published roster: coords AND train-window std>=5 (retains facility 8, omits 24) -- NEGATIVE CONTROL"
